human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,10,2,2,83.33
ACKR3,ackr3b,9,3,2,75.0
ACKR4,ackr4b,10,3,0,76.92
ADCYAP1R1,adcyap1r1a,12,1,0,92.31
ADGRA1,adgra1a,13,2,2,86.67
ADGRA2,adgra2,14,2,0,87.5
ADGRA3,adgra3,14,0,0,100.0
ADGRB1,adgrb1a,16,1,1,94.12
ADGRB1,adgrb1b,16,2,0,88.89
ADGRB2,adgrb2,16,1,0,94.12
ADGRB3,adgrb3,18,0,0,100.0
ADGRD1,adgrd1,8,1,5,88.89
ADGRD2,adgrd2,13,4,2,76.47
ADGRE5,adgre5a,1,0,18,100.0
ADGRE5,adgre5b.2,0,1,18,0.0
ADGRE5,adgre5b.3,2,6,11,25.0
ADGRF3,adgrf3a,7,9,1,43.75
ADGRF3,adgrf3b,8,7,2,53.33
ADGRG1,adgrg1,10,5,2,66.67
ADGRG2,adgrg2a,14,2,0,87.5
ADGRG6,adgrg6,14,1,0,93.33
ADGRG7,adgrg7.2,7,3,7,70.0
ADGRL1,adgrl1a,16,0,2,100.0
ADGRL2,adgrl2a,1,7,13,12.5
ADGRL2,adgrl2b.1,0,0,21,0.0
ADGRL3,adgrl3.1,19,0,1,100.0
ADGRL4,adgrl4,14,1,2,93.33
ADORA1,adora1b,19,0,0,100.0
ADORA2A,adora2aa,19,1,1,95.0
ADORA2A,adora2ab,19,2,0,90.48
ADORA2B,adora2b,18,1,3,94.74
ADRA1A,adra1aa,17,1,0,94.44
ADRA1A,adra1ab,15,3,0,83.33
ADRA1B,adra1ba,17,1,3,94.44
ADRA1B,adra1bb,17,2,2,89.47
ADRA1D,adra1d,18,0,0,100.0
ADRA2A,adra2a,18,1,0,94.74
ADRA2B,adra2b,18,1,0,94.74
ADRA2C,adra2c,18,1,0,94.74
ADRB1,adrb1,17,1,2,94.44
ADRB2,adrb2a,18,1,1,94.74
ADRB2,adrb2b,19,0,1,100.0
ADRB3,adrb3a,17,2,0,89.47
ADRB3,adrb3b,17,2,0,89.47
AGTR1,agtr1a,8,6,3,57.14
AGTR1,agtr1b,9,3,5,75.0
AGTR2,agtr2,8,5,5,61.54
APLNR,aplnra,11,5,1,68.75
APLNR,aplnrb,12,4,1,75.0
AVPR1A,avpr1aa,16,2,3,88.89
AVPR1A,avpr1ab,16,2,3,88.89
AVPR2,avpr2aa,9,5,4,64.29
AVPR2,avpr2ab,9,6,3,60.0
BDKRB1,bdkrb1,7,7,2,50.0
C5AR1,c5ar1,5,9,2,35.71
CALCR,calcr,0,5,10,0.0
CALCRL,calcrla,0,4,9,0.0
CALCRL,calcrlb,0,1,12,0.0
CASR,casr,18,1,0,94.74
CCKAR,cckar,14,4,0,77.78
CCKBR,cckbra,13,4,2,76.47
CCR10,ccr10,4,6,5,40.0
CCR2,ccr2,4,8,3,33.33
CCR6,ccr6a,3,10,2,23.08
CCR6,ccr6b,2,10,3,16.67
CCR7,ccr7,9,5,3,64.29
CCR8,ccr8.1,6,6,5,50.0
CCR9,ccr9a,10,4,5,71.43
CCR9,ccr9b,9,6,4,60.0
CELSR1,celsr1a,0,1,2,0.0
CELSR1,celsr1b,0,2,1,0.0
CELSR3,celsr3,0,3,2,0.0
CHRM1,chrm1a,18,0,0,100.0
CHRM2,chrm2a,18,0,0,100.0
CHRM2,chrm2b,18,0,0,100.0
CHRM3,chrm3a,21,1,0,95.45
CHRM3,chrm3b,16,2,4,88.89
CHRM4,chrm4a,18,0,0,100.0
CHRM4,chrm4b,17,1,0,94.44
CHRM5,chrm5a,17,1,0,94.44
CHRM5,chrm5b,17,1,0,94.44
CMKLR1,cmklr1,10,6,2,62.5
CMKLR2,cmklr2,6,7,1,46.15
CNR1,cnr1,19,1,1,95.0
CNR2,cnr2,11,5,1,68.75
CRHR1,crhr1,0,4,12,0.0
CRHR2,crhr2,0,0,15,0.0
CXCR1,cxcr1,6,6,6,50.0
CXCR2,cxcr2,8,8,1,50.0
CXCR3,cxcr3.1,8,3,6,72.73
CXCR3,cxcr3.2,5,6,6,45.45
CXCR4,cxcr4a,14,2,1,87.5
CXCR4,cxcr4b,13,3,1,81.25
CXCR5,cxcr5,6,8,2,42.86
CYSLTR1,cysltr1,15,2,2,88.24
DRD1,drd1a,20,0,0,100.0
DRD1,drd1b,20,0,0,100.0
DRD2,drd2a,19,0,1,100.0
DRD2,drd2b,18,0,2,100.0
DRD3,drd3,19,0,0,100.0
DRD4,drd4a,20,1,0,95.24
DRD4,drd4b,21,0,0,100.0
EDNRA,ednraa,15,0,1,100.0
EDNRA,ednrab,13,2,1,86.67
EDNRB,ednrba,17,0,1,100.0
EDNRB,ednrbb,15,1,2,93.75
F2R,f2r,11,3,3,78.57
F2RL1,f2rl1.1,12,5,0,70.59
F2RL1,f2rl1.2,13,4,0,76.47
F2RL2,f2rl2,9,5,4,64.29
FPR1,fpr1,5,7,3,41.67
FSHR,fshr,16,1,0,94.12
FZD1,fzd1,21,1,1,95.45
FZD10,fzd10,20,1,1,95.24
FZD2,fzd2,20,3,0,86.96
FZD3,fzd3a,21,2,0,91.3
FZD3,fzd3b,20,3,0,86.96
FZD4,fzd4,18,4,0,81.82
FZD5,fzd5,19,4,0,82.61
FZD6,fzd6,16,6,3,72.73
FZD7,fzd7a,17,4,1,80.95
FZD7,fzd7b,19,3,0,86.36
FZD8,fzd8a,20,2,1,90.91
FZD8,fzd8b,20,2,1,90.91
FZD9,fzd9a,16,0,3,100.0
FZD9,fzd9b,19,0,0,100.0
GABBR1,gabbr1a,9,1,5,90.0
GABBR1,gabbr1b,12,1,2,92.31
