human gene,zebrafish gene,actual class,matched,similarity,mismatched,failed alignments,% failed alignments,% identity,% similarity
ACKR3,ackr3a,Class_A,10,12,2,2,12.5,83.33,100.0

ACKR3,ackr3b,Class_A,9,11,2,3,18.75,81.82,100.0

ACKR4,ackr4b,Class_A,10,11,3,0,0.0,76.92,84.62

ADCYAP1R1,adcyap1r1a,Class_B1,24,24,0,0,0.0,100.0,100.0

ADORA1,adora1b,Class_A,19,19,0,0,0.0,100.0,100.0

ADORA2A,adora2aa,Class_A,19,19,1,1,4.761904761904762,95.0,95.0

ADORA2A,adora2ab,Class_A,19,20,2,0,0.0,90.48,95.24

ADORA2B,adora2b,Class_A,18,18,1,3,13.636363636363637,94.74,94.74

ADRA1A,adra1aa,Class_A,15,16,1,2,10.526315789473685,93.75,100.0

ADRA1A,adra1ab,Class_A,14,17,3,1,4.761904761904762,82.35,100.0

ADRA1B,adra1ba,Class_A,17,18,1,3,13.636363636363637,94.44,100.0

ADRA1B,adra1bb,Class_A,17,19,2,2,8.695652173913043,89.47,100.0

ADRA1D,adra1d,Class_A,18,18,0,0,0.0,100.0,100.0

ADRA2A,adra2a,Class_A,18,19,1,0,0.0,94.74,100.0

ADRA2B,adra2b,Class_A,18,19,1,0,0.0,94.74,100.0

ADRA2C,adra2c,Class_A,18,19,1,0,0.0,94.74,100.0

ADRB1,adrb1,Class_A,17,17,1,2,10.0,94.44,94.44

ADRB2,adrb2a,Class_A,18,18,1,1,5.0,94.74,94.74

ADRB2,adrb2b,Class_A,19,19,0,1,5.0,100.0,100.0

ADRB3,adrb3a,Class_A,17,19,2,0,0.0,89.47,100.0

ADRB3,adrb3b,Class_A,17,19,2,0,0.0,89.47,100.0

AGTR1,agtr1a,Class_A,8,13,6,3,13.636363636363637,57.14,92.86

AGTR1,agtr1b,Class_A,9,10,3,5,27.77777777777778,75.0,83.33

AGTR2,agtr2,Class_A,8,13,5,5,21.73913043478261,61.54,100.0

APLNR,aplnra,Class_A,11,15,5,1,4.761904761904762,68.75,93.75

APLNR,aplnrb,Class_A,12,15,4,1,5.0,75.0,93.75

AVPR1A,avpr1aa,Class_A,16,18,2,3,13.043478260869565,88.89,100.0

AVPR1A,avpr1ab,Class_A,16,18,2,3,13.043478260869565,88.89,100.0

AVPR2,avpr2aa,Class_A,6,9,3,9,42.857142857142854,66.67,100.0

AVPR2,avpr2ab,Class_A,9,13,5,4,18.181818181818183,64.29,92.86

BDKRB1,bdkrb1,Class_A,7,11,7,2,10.0,50.0,78.57

C5AR1,c5ar1,Class_A,4,6,8,4,22.22222222222222,33.33,50.0

CALCR,calcr,Class_B1,20,20,2,4,15.384615384615385,90.91,90.91

CALCRL,calcrla,Class_B1,21,23,3,0,0.0,87.5,95.83

CALCRL,calcrlb,Class_B1,19,21,3,2,7.6923076923076925,86.36,95.45

CASR,casr,Class_C,3,3,1,19,82.6086956521739,75.0,75.0

CCKAR,cckar,Class_A,14,16,4,0,0.0,77.78,88.89

CCKBR,cckbra,Class_A,13,15,3,3,14.285714285714286,81.25,93.75

CCR10,ccr10,Class_A,4,6,4,7,41.1764705882353,50.0,75.0

CCR2,ccr2,Class_A,4,8,8,3,15.789473684210526,33.33,66.67

CCR6,ccr6a,Class_A,2,6,8,5,26.31578947368421,20.0,60.0

CCR6,ccr6b,Class_A,1,4,9,5,27.77777777777778,10.0,40.0

CCR7,ccr7,Class_A,9,12,5,3,15.0,64.29,85.71

CCR8,ccr8.1,Class_A,6,9,6,5,25.0,50.0,75.0

CCR9,ccr9a,Class_A,9,12,4,6,27.272727272727273,69.23,92.31

CCR9,ccr9b,Class_A,9,12,4,6,27.272727272727273,69.23,92.31

CELSR1,celsr1a,Class_F,0,0,0,2,100.0,0.0,0.0

CELSR1,celsr1b,Class_F,0,0,0,2,100.0,0.0,0.0

CELSR3,celsr3,Class_F,0,1,2,13,81.25,0.0,50.0

CHRM1,chrm1a,Class_A,18,18,0,0,0.0,100.0,100.0

CHRM2,chrm2a,Class_A,18,18,0,0,0.0,100.0,100.0

CHRM2,chrm2b,Class_A,18,18,0,0,0.0,100.0,100.0

CHRM3,chrm3a,Class_A,21,22,1,0,0.0,95.45,100.0

CHRM3,chrm3b,Class_A,16,17,1,5,21.73913043478261,94.12,100.0

CHRM4,chrm4a,Class_A,18,18,0,0,0.0,100.0,100.0

CHRM4,chrm4b,Class_A,17,18,1,0,0.0,94.44,100.0

CHRM5,chrm5a,Class_A,17,17,1,0,0.0,94.44,94.44

CHRM5,chrm5b,Class_A,17,17,1,0,0.0,94.44,94.44

CMKLR1,cmklr1,Class_A,10,14,6,2,9.090909090909092,62.5,87.5

CMKLR2,cmklr2,Class_A,6,12,7,1,5.0,46.15,92.31

CNR1,cnr1,Class_A,19,19,1,1,4.761904761904762,95.0,95.0

CNR2,cnr2,Class_A,11,14,5,1,5.0,68.75,87.5

CRHR1,crhr1,Class_B1,19,19,1,8,28.571428571428573,95.0,95.0

CRHR2,crhr2,Class_B1,0,0,0,28,100.0,0.0,0.0

CXCR1,cxcr1,Class_A,6,7,4,8,42.10526315789474,60.0,70.0

CXCR2,cxcr2,Class_A,8,9,8,1,5.555555555555555,50.0,56.25

CXCR3,cxcr3.1,Class_A,8,9,2,7,38.888888888888886,80.0,90.0

CXCR3,cxcr3.2,Class_A,5,8,5,7,35.0,50.0,80.0

CXCR4,cxcr4a,Class_A,14,15,2,1,5.555555555555555,87.5,93.75

CXCR4,cxcr4b,Class_A,12,13,3,2,11.11111111111111,80.0,86.67

