human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
ACKR3,ackr3a,15,19,4,2,78.95,100.0
ACKR3,ackr3b,14,15,3,4,82.35,88.24
ACKR4,ackr4b,3,4,1,15,75.0,100.0
ADCYAP1R1,adcyap1r1a,0,0,0,16,0.0,0.0
ADGRA1,adgra1a,7,10,3,2,70.0,100.0
ADGRA2,adgra2,1,3,2,16,33.33,100.0
ADGRA3,adgra3,0,0,1,16,0.0,0.0
ADGRB1,adgrb1a,1,3,5,12,16.67,50.0
ADGRB1,adgrb1b,16,16,0,2,100.0,100.0
ADGRB2,adgrb2,0,3,8,14,0.0,37.5
ADGRB3,adgrb3,1,1,0,16,100.0,100.0
ADGRD1,adgrd1,0,1,4,15,0.0,25.0
ADGRD2,adgrd2,7,7,1,7,87.5,87.5
ADGRE5,adgre5a,0,0,2,18,0.0,0.0
ADGRE5,adgre5b.2,5,7,3,12,62.5,87.5
ADGRE5,adgre5b.3,0,0,3,17,0.0,0.0
ADGRF3,adgrf3a,2,2,2,13,50.0,50.0
ADGRF3,adgrf3b,1,1,1,15,50.0,50.0
ADGRG1,adgrg1,7,7,3,7,70.0,70.0
ADGRG2,adgrg2a,0,0,0,18,0.0,0.0
ADGRG6,adgrg6,11,14,4,3,73.33,93.33
ADGRG7,adgrg7.2,0,2,5,14,0.0,40.0
ADGRL1,adgrl1a,15,15,0,3,100.0,100.0
ADGRL2,adgrl2a,3,4,1,13,75.0,100.0
ADGRL2,adgrl2b.1,0,0,0,17,0.0,0.0
ADGRL3,adgrl3.1,16,16,0,3,100.0,100.0
ADGRL4,adgrl4,0,1,1,18,0.0,100.0
ADORA1,adora1b,18,19,1,1,94.74,100.0
ADORA2A,adora2aa,19,19,0,0,100.0,100.0
ADORA2A,adora2ab,16,17,1,2,94.12,100.0
ADORA2B,adora2b,17,19,2,2,89.47,100.0
ADRA1A,adra1aa,15,15,2,5,88.24,88.24
ADRA1A,adra1ab,14,15,4,4,77.78,83.33
ADRA1B,adra1ba,18,21,3,1,85.71,100.0
ADRA1B,adra1bb,16,20,4,2,80.0,100.0
ADRA1D,adra1d,15,15,0,7,100.0,100.0
ADRA2A,adra2a,20,20,0,0,100.0,100.0
ADRA2B,adra2b,20,21,1,0,95.24,100.0
ADRA2C,adra2c,20,21,1,0,95.24,100.0
ADRB1,adrb1,16,18,2,1,88.89,100.0
ADRB2,adrb2a,17,19,2,2,89.47,100.0
ADRB2,adrb2b,16,19,3,2,84.21,100.0
ADRB3,adrb3a,16,17,1,5,94.12,100.0
ADRB3,adrb3b,14,15,1,7,93.33,100.0
AGTR1,agtr1a,4,5,3,16,57.14,71.43
AGTR1,agtr1b,4,4,1,18,80.0,80.0
AGTR2,agtr2,13,15,3,2,81.25,93.75
APLNR,aplnra,2,4,2,17,50.0,100.0
APLNR,aplnrb,1,1,3,17,25.0,25.0
AVPR1A,avpr1aa,13,17,5,4,72.22,94.44
AVPR1A,avpr1ab,14,17,4,4,77.78,94.44
AVPR2,avpr2aa,4,7,4,10,50.0,87.5
AVPR2,avpr2ab,1,3,4,13,20.0,60.0
BDKRB1,bdkrb1,11,17,10,2,52.38,80.95
C5AR1,c5ar1,6,9,10,4,37.5,56.25
CALCR,calcr,8,10,2,7,80.0,100.0
CALCRL,calcrla,11,14,5,1,68.75,87.5
CALCRL,calcrlb,10,14,5,2,66.67,93.33
CASR,casr,3,3,1,19,75.0,75.0
CCKAR,cckar,14,16,5,0,73.68,84.21
CCKBR,cckbra,17,19,2,2,89.47,100.0
CCR10,ccr10,2,4,4,15,33.33,66.67
CCR2,ccr2,2,3,1,17,66.67,100.0
CCR6,ccr6a,1,3,4,14,20.0,60.0
CCR6,ccr6b,0,2,4,15,0.0,50.0
CCR7,ccr7,2,2,1,15,66.67,66.67
CCR8,ccr8.1,11,13,3,7,78.57,92.86
CCR9,ccr9a,0,0,3,17,0.0,0.0
CCR9,ccr9b,9,12,7,4,56.25,75.0
CELSR1,celsr1a,0,0,0,0,0.0,0.0
CELSR1,celsr1b,0,0,0,0,0.0,0.0
CELSR3,celsr3,0,0,0,3,0.0,0.0
CHRM1,chrm1a,16,16,0,3,100.0,100.0
CHRM2,chrm2a,18,19,1,0,94.74,100.0
CHRM2,chrm2b,16,17,1,2,94.12,100.0
CHRM3,chrm3a,19,19,0,1,100.0,100.0
CHRM3,chrm3b,15,16,1,4,93.75,100.0
CHRM4,chrm4a,7,7,0,10,100.0,100.0
CHRM4,chrm4b,8,8,0,9,100.0,100.0
CHRM5,chrm5a,15,15,0,6,100.0,100.0
CHRM5,chrm5b,3,3,0,18,100.0,100.0
CMKLR1,cmklr1,13,15,5,2,72.22,83.33
CMKLR2,cmklr2,12,19,9,1,57.14,90.48
CNR1,cnr1,0,1,2,20,0.0,50.0
CNR2,cnr2,12,13,4,5,75.0,81.25
CRHR1,crhr1,6,6,0,13,100.0,100.0
CRHR2,crhr2,0,0,0,17,0.0,0.0
CXCR1,cxcr1,9,10,3,5,75.0,83.33
CXCR2,cxcr2,2,3,1,14,66.67,100.0
CXCR3,cxcr3.1,9,10,5,4,64.29,71.43
CXCR3,cxcr3.2,7,10,6,5,53.85,76.92
CXCR4,cxcr4a,13,14,5,3,72.22,77.78
CXCR4,cxcr4b,13,15,5,3,72.22,83.33
CXCR5,cxcr5,7,10,9,3,43.75,62.5
CYSLTR1,cysltr1,2,2,1,17,66.67,66.67
DRD1,drd1a,19,19,0,0,100.0,100.0
DRD1,drd1b,18,19,1,0,94.74,100.0
DRD2,drd2a,17,17,0,1,100.0,100.0
DRD2,drd2b,17,17,0,1,100.0,100.0
DRD3,drd3,14,16,2,2,87.5,100.0
DRD4,drd4a,18,18,1,1,94.74,94.74
DRD4,drd4b,19,19,1,0,95.0,95.0
EDNRA,ednraa,17,18,1,0,94.44,100.0
EDNRA,ednrab,16,16,1,1,94.12,94.12
EDNRB,ednrba,0,0,0,18,0.0,0.0
EDNRB,ednrbb,0,0,0,18,0.0,0.0
F2R,f2r,1,1,2,18,33.33,33.33
