human gene,zebrafish gene,best class alignment
OXGR1,oxgr1a.2,Class_C
ADGRG1,adgrg1,Class_C
ADGRG7,adgrg7.2,Class_A
CCR2,ccr2,Class_C
GPR142,gpr142,Class_F
OXGR1,oxgr1b,Class_A
ADGRE5,adgre5b.2,Class_C
CCR6,ccr6a,Class_B1
GPBAR1,gpbar1,Class_A
CXCR3,cxcr3.1,Class_A
ACKR4,ackr4b,Class_C
ADGRD1,adgrd1,Class_A
ADGRD2,adgrd2,Class_C
OXGR1,oxgr1a.3,Class_C
PTH1R,pth1r,Class_F
CCR9,ccr9b,Class_A
F2RL2,f2rl2,Class_A
XCR1,xcr1b.2,Class_A
AVPR2,avpr2ab,Class_B1
GPR25,gpr25,Class_A
AGTR1,agtr1b,Class_A
GPR27,gpr27,Class_F
P2RY11,p2ry11,Class_A
CCR9,ccr9a,Class_A
AVPR2,avpr2aa,Class_B1
MLNR,mlnr,Class_C
MTNR1A,mtnr1al,Class_A
GPR151,gpr151,Class_A
F2R,f2r,Class_A
GPR132,gpr132a,Class_A
GPR156,gpr156,Class_A
HCAR1,hcar1-1,Class_A
HCAR1,hcar1-2,Class_A
KISS1R,kiss1rb,Class_F
GPR132,gpr132b,Class_A
P2RY13,p2ry13,Class_A
GPER1,gper1,Class_A
GPR37L1,gpr37l1a,Class_C
CCR8,ccr8.1,Class_C
F2RL1,f2rl1.1,Class_A
LTB4R,ltb4r,Class_A
MCHR1,mchr1b,Class_A
APLNR,aplnrb,Class_A
GCGR,gcgra,Class_B1
KISS1R,kiss1ra,Class_F
LGR6,lgr6,Class_F
LTB4R2,ltb4r2b,Class_A
GPR183,gpr183a,Class_A
GIPR,gipr,Class_C
MC1R,mc1r,Class_C
NPFFR1,npffr1,Class_A
OPN3,opn3,Class_B1
GPRC5B,gprc5bb,Class_C
CMKLR1,cmklr1,Class_C
GPR78,gpr78a,Class_A
AGTR1,agtr1a,Class_B1
F2RL1,f2rl1.2,Class_A
GALR1,galr1b,Class_F
LTB4R2,ltb4r2a,Class_A
MCHR1,mchr1a,Class_A
ADGRA1,adgra1a,Class_A
GPR84,gpr84,Class_A
NPFFR1,npffr1l1,Class_C
