human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
ACKR3,ackr3a,17,2,4,89.47,Class_B1
ACKR3,ackr3b,15,0,8,100.0,Class_B1
ACKR4,ackr4b,18,5,2,78.26,Class_B1
ADCYAP1R1,adcyap1r1a,24,0,0,100.0,Class_B1
ADGRA1,adgra1a,13,2,2,86.67,Class_A
ADGRA2,adgra2,14,2,0,87.5,Class_A
ADGRA3,adgra3,14,0,0,100.0,Class_A
ADGRB1,adgrb1a,25,0,1,100.0,Class_B1
ADGRB1,adgrb1b,24,0,2,100.0,Class_B1
ADGRB1,adgrb1b,16,0,2,100.0,Class_C
ADGRB2,adgrb2,22,0,4,100.0,Class_B1
ADGRB3,adgrb3,18,0,0,100.0,Class_A
ADGRB3,adgrb3,22,0,1,100.0,Class_B1
ADGRB3,adgrb3,1,0,16,100.0,Class_C
ADGRD1,adgrd1,6,1,7,85.71,Class_A
ADGRD2,adgrd2,7,1,7,87.5,Class_C
ADGRE5,adgre5a,0,0,19,0.0,Class_A
ADGRE5,adgre5a,0,3,23,0.0,Class_B1
ADGRE5,adgre5a,0,2,18,0.0,Class_C
ADGRE5,adgre5a,0,0,19,0.0,Class_F
ADGRE5,adgre5b.2,14,6,6,70.0,Class_B1
ADGRE5,adgre5b.3,8,5,13,61.54,Class_B1
ADGRF3,adgrf3a,4,1,12,80.0,Class_F
ADGRF3,adgrf3b,6,1,10,85.71,Class_F
ADGRG1,adgrg1,10,4,3,71.43,Class_A
ADGRG2,adgrg2a,4,0,5,100.0,Class_F
ADGRG6,adgrg6,14,1,0,93.33,Class_A
ADGRG7,adgrg7.2,5,1,11,83.33,Class_A
ADGRL1,adgrl1a,16,0,2,100.0,Class_A
ADGRL1,adgrl1a,15,0,3,100.0,Class_C
ADGRL1,adgrl1a,13,0,2,100.0,Class_F
ADGRL2,adgrl2a,10,1,5,90.91,Class_F
ADGRL2,adgrl2b.1,0,0,21,0.0,Class_A
ADGRL2,adgrl2b.1,0,7,15,0.0,Class_B1
ADGRL2,adgrl2b.1,0,0,17,0.0,Class_C
ADGRL2,adgrl2b.1,0,0,16,0.0,Class_F
ADGRL3,adgrl3.1,19,0,1,100.0,Class_A
ADGRL3,adgrl3.1,20,0,2,100.0,Class_B1
ADGRL3,adgrl3.1,16,0,3,100.0,Class_C
ADGRL4,adgrl4,14,1,2,93.33,Class_A
ADORA1,adora1b,19,0,0,100.0,Class_A
ADORA2A,adora2aa,19,0,0,100.0,Class_C
ADORA2A,adora2ab,16,1,2,94.12,Class_C
ADORA2B,adora2b,18,1,3,94.74,Class_A
ADRA1A,adra1aa,15,1,2,93.75,Class_A
ADRA1A,adra1ab,20,3,2,86.96,Class_B1
ADRA1B,adra1ba,23,0,1,100.0,Class_B1
ADRA1B,adra1bb,21,1,2,95.45,Class_B1
ADRA1D,adra1d,18,0,0,100.0,Class_A
