human gene,zebrafish gene,actual class
ACKR3,ackr3a,Class_A
ACKR3,ackr3a,Class_A
ACKR3,ackr3a,Class_A
ACKR3,ackr3b,Class_A
ACKR3,ackr3b,Class_A
ACKR3,ackr3b,Class_A
ACKR4,ackr4b,Class_A
ADCYAP1R1,adcyap1r1a,Class_B1
ADCYAP1R1,adcyap1r1a,Class_B1
ADCYAP1R1,adcyap1r1a,Class_B1
ADGRA1,adgra1a,Class_B2
ADGRA1,adgra1a,Class_B2
ADGRA2,adgra2,Class_B2
ADGRA2,adgra2,Class_B2
ADGRA3,adgra3,Class_B2
ADGRB1,adgrb1a,Class_B2
ADGRB1,adgrb1a,Class_B2
ADGRB1,adgrb1a,Class_B2
ADGRB1,adgrb1b,Class_B2
ADGRB1,adgrb1b,Class_B2
ADGRB1,adgrb1b,Class_B2
ADGRB1,adgrb1b,Class_B2
ADGRB2,adgrb2,Class_B2
ADGRB2,adgrb2,Class_B2
ADGRB2,adgrb2,Class_B2
ADGRB3,adgrb3,Class_B2
ADGRB3,adgrb3,Class_B2
ADGRB3,adgrb3,Class_B2
ADGRD1,adgrd1,Class_B2
ADGRD2,adgrd2,Class_B2
ADGRD2,adgrd2,Class_B2
ADGRE5,adgre5a,Class_B2
ADGRE5,adgre5b.2,Class_B2
ADGRE5,adgre5b.3,Class_B2
ADGRF3,adgrf3a,Class_B2
ADGRF3,adgrf3b,Class_B2
ADGRG1,adgrg1,Class_B2
ADGRG2,adgrg2a,Class_B2
ADGRG2,adgrg2a,Class_B2
ADGRG6,adgrg6,Class_B2
ADGRG7,adgrg7.2,Class_B2
ADGRL1,adgrl1a,Class_B2
ADGRL1,adgrl1a,Class_B2
ADGRL1,adgrl1a,Class_B2
ADGRL1,adgrl1a,Class_B2
ADGRL2,adgrl2a,Class_B2
ADGRL2,adgrl2a,Class_B2
ADGRL2,adgrl2a,Class_B2
ADGRL2,adgrl2b.1,Class_B2
ADGRL3,adgrl3.1,Class_B2
ADGRL3,adgrl3.1,Class_B2
ADGRL3,adgrl3.1,Class_B2
ADGRL3,adgrl3.1,Class_B2
ADGRL4,adgrl4,Class_B2
ADORA1,adora1b,Class_A
ADORA1,adora1b,Class_A
ADORA1,adora1b,Class_A
ADORA2A,adora2aa,Class_A
ADORA2A,adora2aa,Class_A
ADORA2A,adora2aa,Class_A
ADORA2A,adora2ab,Class_A
ADORA2A,adora2ab,Class_A
ADORA2B,adora2b,Class_A
ADORA2B,adora2b,Class_A
ADRA1A,adra1aa,Class_A
ADRA1A,adra1ab,Class_A
ADRA1B,adra1ba,Class_A
ADRA1B,adra1ba,Class_A
ADRA1B,adra1ba,Class_A
ADRA1B,adra1ba,Class_A
ADRA1B,adra1bb,Class_A
ADRA1B,adra1bb,Class_A
ADRA1D,adra1d,Class_A
ADRA1D,adra1d,Class_A
ADRA1D,adra1d,Class_A
ADRA1D,adra1d,Class_A
ADRA2A,adra2a,Class_A
ADRA2A,adra2a,Class_A
ADRA2A,adra2a,Class_A
ADRA2A,adra2a,Class_A
ADRA2B,adra2b,Class_A
ADRA2B,adra2b,Class_A
ADRA2B,adra2b,Class_A
ADRA2C,adra2c,Class_A
ADRA2C,adra2c,Class_A
ADRB1,adrb1,Class_A
ADRB2,adrb2a,Class_A
ADRB2,adrb2b,Class_A
ADRB2,adrb2b,Class_A
ADRB2,adrb2b,Class_A
ADRB3,adrb3a,Class_A
ADRB3,adrb3a,Class_A
ADRB3,adrb3b,Class_A
ADRB3,adrb3b,Class_A
AGTR1,agtr1a,Class_A
AGTR1,agtr1b,Class_A
AGTR2,agtr2,Class_A
AGTR2,agtr2,Class_A
APLNR,aplnra,Class_A
APLNR,aplnrb,Class_A
AVPR1A,avpr1aa,Class_A
AVPR1A,avpr1aa,Class_A
AVPR1A,avpr1ab,Class_A
AVPR1A,avpr1ab,Class_A
