human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
ACKR3,ackr3a,17,2,4,89.47,Class_B1
ACKR4,ackr4b,18,5,2,78.26,Class_B1
ADCYAP1R1,adcyap1r1a,24,0,0,100,Class_B1
ADGRA1,adgra1a,13,2,2,86.67,Class_A
ADGRA2,adgra2,14,2,0,87.5,Class_A
ADGRA3,adgra3,14,0,0,100,Class_A
ADGRB1,adgrb1a,25,0,1,100,Class_B1
ADGRB2,adgrb2,22,0,4,100,Class_B1
ADGRB3,adgrb3,22,0,1,100,Class_B1
ADGRD1,adgrd1,6,1,7,85.71,Class_A
ADGRD2,adgrd2,7,1,7,87.5,Class_C
ADGRE5,adgre5b.2,14,6,6,70,Class_B1
ADGRF3,adgrf3b,6,1,10,85.71,Class_F
ADGRG1,adgrg1,10,4,3,71.43,Class_A
ADGRG6,adgrg6,14,1,0,93.33,Class_A
ADGRL1,adgrl1a,16,0,2,100,Class_A
ADGRL2,adgrl2a,10,1,5,90.91,Class_F
ADGRL3,adgrl3.1,20,0,2,100,Class_B1
ADGRL4,adgrl4,14,1,2,93.33,Class_A
ADORA1,adora1b,19,0,0,100,Class_A
ADORA2A,adora2aa,19,0,0,100,Class_C
ADORA2B,adora2b,18,1,3,94.74,Class_A
ADRA1A,adra1aa,15,1,2,93.75,Class_A
ADRA1B,adra1ba,23,0,1,100,Class_B1
ADRA1D,adra1d,18,0,0,100,Class_A
ADRA2A,adra2a,20,0,0,100,Class_C
ADRA2B,adra2b,23,1,1,95.83,Class_B1
ADRA2C,adra2c,20,1,0,95.24,Class_C
ADRB1,adrb1,17,1,2,94.44,Class_A
ADRB2,adrb2b,19,0,1,100,Class_A
ADRB3,adrb3a,16,1,5,94.12,Class_C
AGTR1,agtr1a,11,4,9,73.33,Class_B1
AGTR2,agtr2,13,1,13,92.86,Class_B1
APLNR,aplnra,21,5,0,80.77,Class_B1
AVPR1A,avpr1ab,16,2,3,88.89,Class_A
AVPR2,avpr2aa,5,2,13,71.43,Class_F
CALCRL,calcrla,21,3,0,87.5,Class_B1
CASR,casr,24,1,3,96,Class_F
CCKAR,cckar,21,2,2,91.3,Class_B1
CCKBR,cckbra,17,2,2,89.47,Class_C
CCR2,ccr2,17,6,2,73.91,Class_B1
CCR7,ccr7,17,5,0,77.27,Class_B1
CCR8,ccr8.1,11,3,7,78.57,Class_C
CCR9,ccr9a,6,2,9,75,Class_F
CHRM1,chrm1a,18,0,0,100,Class_A
CHRM2,chrm2b,18,0,0,100,Class_A
CHRM3,chrm3b,21,0,2,100,Class_B1
CHRM4,chrm4a,25,0,1,100,Class_B1
CHRM5,chrm5a,21,0,2,100,Class_B1
CMKLR1,cmklr1,13,5,2,72.22,Class_C
CMKLR2,cmklr2,9,6,9,60,Class_B1
CNR1,cnr1,19,1,1,95,Class_A
CNR2,cnr2,17,4,3,80.95,Class_F
CRHR1,crhr1,6,0,13,100,Class_C
CXCR2,cxcr2,16,6,2,72.73,Class_B1
CXCR3,cxcr3.1,8,2,7,80,Class_A
CXCR4,cxcr4a,17,0,6,100,Class_B1
CYSLTR1,cysltr1,15,2,2,88.24,Class_A
DRD1,drd1a,24,0,1,100,Class_B1
DRD2,drd2b,24,0,1,100,Class_B1
DRD3,drd3,19,0,0,100,Class_A
DRD4,drd4b,21,0,0,100,Class_A
EDNRA,ednraa,15,0,1,100,Class_A
EDNRB,ednrbb,23,0,1,100,Class_B1
F2R,f2r,11,3,3,78.57,Class_A
F2RL1,f2rl1.2,13,4,0,76.47,Class_A
F2RL2,f2rl2,9,4,5,69.23,Class_A
FZD1,fzd1,23,0,0,100,Class_C
FZD10,fzd10,26,1,0,96.3,Class_B1
FZD2,fzd2,27,0,0,100,Class_B1
FZD3,fzd3a,24,2,0,92.31,Class_B1
FZD4,fzd4,26,0,1,100,Class_B1
FZD5,fzd5,20,2,3,90.91,Class_F
FZD6,fzd6,20,1,5,95.24,Class_F
FZD7,fzd7b,26,0,0,100,Class_B1
FZD8,fzd8a,25,1,0,96.15,Class_B1
FZD9,fzd9b,19,0,0,100,Class_A
GABBR1,gabbr1a,23,0,3,100,Class_B1
GABBR2,gabbr2,28,0,0,100,Class_C
GALR1,galr1a,17,0,0,100,Class_A
GALR2,galr2a,21,3,1,87.5,Class_B1
GCGR,gcgra,12,4,10,75,Class_B1
GHRHR,ghrhra,14,7,5,66.67,Class_B1
GHSR,ghsrb,16,0,0,100,Class_C
GIPR,gipr,9,0,10,100,Class_C
GPBAR1,gpbar1,7,4,8,63.64,Class_A
GPER1,gper1,9,0,7,100,Class_A
GPR101,gpr101,15,5,5,75,Class_B1
GPR12,gpr12,20,1,2,95.24,Class_B1
GPR132,gpr132b,11,1,6,91.67,Class_A
GPR135,gpr135,20,4,1,83.33,Class_B1
GPR139,gpr139,18,1,3,94.74,Class_A
GPR142,gpr142,7,1,3,87.5,Class_F
GPR146,gpr146,12,4,9,75,Class_B1
GPR151,gpr151,11,4,5,73.33,Class_A
GPR153,gpr153,20,2,1,90.91,Class_C
GPR156,gpr156,11,3,2,78.57,Class_A
GPR158,gpr158b,19,3,4,86.36,Class_B1
GPR161,gpr161b,15,3,2,83.33,Class_C
GPR17,gpr17,17,0,1,100,Class_A
GPR171,gpr171,18,5,1,78.26,Class_C
GPR173,gpr173,18,0,3,100,Class_C
GPR174,gpr174,15,0,4,100,Class_A
GPR176,gpr176,12,3,12,80,Class_F
GPR18,gpr18,18,7,2,72,Class_B1
GPR183,gpr183b,20,3,3,86.96,Class_F
GPR19,gpr19,17,5,0,77.27,Class_B1
GPR20,gpr20,17,2,2,89.47,Class_C
GPR22,gpr22a,19,1,2,95,Class_A
GPR25,gpr25,8,2,8,80,Class_A
GPR26,gpr26,20,3,3,86.96,Class_B1
GPR27,gpr27,9,3,7,75,Class_F
GPR3,gpr3,15,7,0,68.18,Class_B1
GPR34,gpr34b,16,1,2,94.12,Class_A
GPR35,gpr35.1,15,7,4,68.18,Class_B1
GPR37,gpr37a,14,0,1,100,Class_A
GPR37L1,gpr37l1b,11,1,6,91.67,Class_A
GPR39,gpr39,18,2,1,90,Class_C
GPR4,gpr4,18,0,1,100,Class_A
GPR45,gpr45,16,2,4,88.89,Class_C
GPR52,gpr52,20,0,1,100,Class_B1
GPR6,gpr6,17,3,3,85,Class_B1
GPR61,gpr61,15,1,5,93.75,Class_C
GPR75,gpr75,23,1,1,95.83,Class_B1
GPR78,gpr78a,13,5,0,72.22,Class_A
GPR84,gpr84,13,2,2,86.67,Class_A
GPR85,gpr85,21,0,2,100,Class_C
GPRC5B,gprc5ba,16,8,2,66.67,Class_A
GPRC5C,gprc5c,20,2,3,90.91,Class_A
GPRC6A,gprc6a,7,1,14,87.5,Class_C
GRM1,grm1a,22,0,1,100,Class_C
GRM2,grm2a,25,1,0,96.15,Class_B1
GRM3,grm3,24,0,3,100,Class_B1
GRM4,grm4,23,0,1,100,Class_A
GRM5,grm5a,21,0,1,100,Class_B1
GRM6,grm6b,22,2,0,91.67,Class_B1
GRM8,grm8b,25,0,0,100,Class_B1
HCAR1,hcar1-2,10,2,5,83.33,Class_A
HCRTR2,hcrtr2,13,1,3,92.86,Class_A
HRH2,hrh2a,16,2,1,88.89,Class_C
HRH3,hrh3,15,0,8,100,Class_C
HTR1A,htr1ab,24,0,2,100,Class_B1
HTR1B,htr1b,22,1,1,95.65,Class_B1
HTR1D,htr1d,19,1,0,95,Class_A
HTR1F,htr1fb,23,1,1,95.83,Class_B1
HTR2A,htr2ab,18,1,1,94.74,Class_A
HTR2B,htr2b,18,2,2,90,Class_C
HTR4,htr4,20,0,0,100,Class_A
HTR5A,htr5ab,19,0,2,100,Class_B1
HTR6,htr6,21,2,2,91.3,Class_B1
HTR7,htr7a,21,0,0,100,Class_A
KISS1R,kiss1rb,11,2,11,84.62,Class_F
LGR4,lgr4,19,0,3,100,Class_A
LGR6,lgr6,11,4,9,73.33,Class_F
LPAR1,lpar1,25,1,0,96.15,Class_B1
LPAR2,lpar2b,20,3,2,86.96,Class_B1
LPAR3,lpar3,22,1,3,95.65,Class_B1
LPAR4,lpar4,13,1,2,92.86,Class_A
LPAR6,lpar6a,16,0,0,100,Class_A
