human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,failed alignments / total residues,% identity,% similarity,best class alignment,actual class,Class Match,PDB
ACKR3,ackr3a,10,12,2,2,0.125,83.33,100,Class_A,Class_A,classes match,9E82
ACKR3,ackr3a,17,19,2,4,0.16,89.47,100,Class_B1,Class_A,classes mismatch,9E82
ACKR3,ackr3a,15,19,4,2,0.08,78.95,100,Class_C,Class_A,classes mismatch,9E82
ACKR3,ackr3b,9,11,2,3,0.1875,81.82,100,Class_A,Class_A,classes match,9E82
ACKR3,ackr3b,15,15,0,8,0.347826087,100,100,Class_B1,Class_A,classes mismatch,9E82
ACKR3,ackr3b,8,10,2,11,0.47826087,80,100,Class_F,Class_A,classes mismatch,9E82
ACKR4,ackr4b,3,4,1,15,0.75,75,100,Class_C,Class_A,classes mismatch,-
ADCYAP1R1,adcyap1r1a,12,13,1,0,0,92.31,100,Class_A,Class_B1,classes mismatch,9P92
ADCYAP1R1,adcyap1r1a,24,24,0,0,0,100,100,Class_B1,Class_B1,classes match,9P92
ADCYAP1R1,adcyap1r1a,8,9,1,2,0.166666667,88.89,100,Class_F,Class_B1,classes mismatch,9P92
ADGRA1,adgra1a,13,15,2,2,0.105263158,86.67,100,Class_A,Class_B2,classes mismatch,-
ADGRA1,adgra1a,7,10,3,2,0.133333333,70,100,Class_C,Class_B2,classes mismatch,-
ADGRA2,adgra2,14,16,2,0,0,87.5,100,Class_A,Class_B2,classes mismatch,-
ADGRA2,adgra2,1,3,2,16,0.761904762,33.33,100,Class_C,Class_B2,classes mismatch,-
ADGRA3,adgra3,14,14,0,0,0,100,100,Class_A,Class_B2,classes mismatch,-
ADGRB1,adgrb1a,16,17,1,1,0.052631579,94.12,100,Class_A,Class_B2,classes mismatch,-
ADGRB1,adgrb1a,25,25,0,1,0.038461538,100,100,Class_B1,Class_B2,classes mismatch,-
ADGRB1,adgrb1a,15,17,2,5,0.208333333,88.24,100,Class_F,Class_B2,classes mismatch,-
ADGRB1,adgrb1b,16,18,2,0,0,88.89,100,Class_A,Class_B2,classes mismatch,-
ADGRB1,adgrb1b,24,24,0,2,0.076923077,100,100,Class_B1,Class_B2,classes mismatch,-
ADGRB1,adgrb1b,16,16,0,2,0.111111111,100,100,Class_C,Class_B2,classes mismatch,-
ADGRB1,adgrb1b,20,22,2,0,0,90.91,100,Class_F,Class_B2,classes mismatch,-
ADGRB2,adgrb2,16,17,1,0,0,94.12,100,Class_A,Class_B2,classes mismatch,8OEK
ADGRB2,adgrb2,22,22,0,4,0.153846154,100,100,Class_B1,Class_B2,classes mismatch,8OEK
ADGRB2,adgrb2,21,22,1,0,0,95.45,100,Class_F,Class_B2,classes mismatch,8OEK
ADGRB3,adgrb3,18,18,0,0,0,100,100,Class_A,Class_B2,classes mismatch,8VWY
ADGRB3,adgrb3,22,22,0,1,0.043478261,100,100,Class_B1,Class_B2,classes mismatch,8VWY
ADGRB3,adgrb3,1,1,0,16,0.941176471,100,100,Class_C,Class_B2,classes mismatch,8VWY
ADGRD1,adgrd1,6,6,1,7,0.5,85.71,85.71,Class_A,Class_B2,classes mismatch,8X9S
ADGRD2,adgrd2,13,17,4,2,0.086956522,76.47,100,Class_A,Class_B2,classes mismatch,-
ADGRD2,adgrd2,18,21,3,2,0.076923077,85.71,100,Class_B1,Class_B2,classes mismatch,-
ADGRE5,adgre5a,0,1,3,23,0.851851852,0,33.33,Class_B1,Class_B2,classes mismatch,8IKJ
ADGRE5,adgre5b.2,14,18,6,6,0.2,70,90,Class_B1,Class_B2,classes mismatch,8IKJ
ADGRE5,adgre5b.3,8,10,5,13,0.464285714,61.54,76.92,Class_B1,Class_B2,classes mismatch,8IKJ
ADGRF3,adgrf3a,4,5,1,12,0.666666667,80,100,Class_F,Class_B2,classes mismatch,-
