human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity,best class alignment
ACKR3,ackr3a,10,12,2,2,83.33,100.0,Class_A
ACKR3,ackr3a,17,19,2,4,89.47,100.0,Class_B1
ACKR3,ackr3a,15,19,4,2,78.95,100.0,Class_C
ACKR3,ackr3b,9,11,2,3,81.82,100.0,Class_A
ACKR3,ackr3b,15,15,0,8,100.0,100.0,Class_B1
ACKR3,ackr3b,8,10,2,11,80.0,100.0,Class_F
ACKR4,ackr4b,3,4,1,15,75.0,100.0,Class_C
ADCYAP1R1,adcyap1r1a,12,13,1,0,92.31,100.0,Class_A
ADCYAP1R1,adcyap1r1a,24,24,0,0,100.0,100.0,Class_B1
ADCYAP1R1,adcyap1r1a,8,9,1,2,88.89,100.0,Class_F
ADGRA1,adgra1a,13,15,2,2,86.67,100.0,Class_A
ADGRA1,adgra1a,7,10,3,2,70.0,100.0,Class_C
ADGRA2,adgra2,14,16,2,0,87.5,100.0,Class_A
ADGRA2,adgra2,1,3,2,16,33.33,100.0,Class_C
ADGRA3,adgra3,14,14,0,0,100.0,100.0,Class_A
ADGRB1,adgrb1a,16,17,1,1,94.12,100.0,Class_A
ADGRB1,adgrb1a,25,25,0,1,100.0,100.0,Class_B1
ADGRB1,adgrb1a,15,17,2,5,88.24,100.0,Class_F
ADGRB1,adgrb1b,16,18,2,0,88.89,100.0,Class_A
ADGRB1,adgrb1b,24,24,0,2,100.0,100.0,Class_B1
ADGRB1,adgrb1b,16,16,0,2,100.0,100.0,Class_C
ADGRB1,adgrb1b,20,22,2,0,90.91,100.0,Class_F
ADGRB2,adgrb2,16,17,1,0,94.12,100.0,Class_A
ADGRB2,adgrb2,22,22,0,4,100.0,100.0,Class_B1
ADGRB2,adgrb2,21,22,1,0,95.45,100.0,Class_F
ADGRB3,adgrb3,18,18,0,0,100.0,100.0,Class_A
ADGRB3,adgrb3,22,22,0,1,100.0,100.0,Class_B1
ADGRB3,adgrb3,1,1,0,16,100.0,100.0,Class_C
ADGRD1,adgrd1,6,6,1,7,85.71,85.71,Class_A
ADGRD2,adgrd2,13,17,4,2,76.47,100.0,Class_A
ADGRD2,adgrd2,18,21,3,2,85.71,100.0,Class_B1
ADGRE5,adgre5a,0,1,3,23,0.0,33.33,Class_B1
ADGRE5,adgre5b.2,14,18,6,6,70.0,90.0,Class_B1
ADGRE5,adgre5b.3,8,10,5,13,61.54,76.92,Class_B1
ADGRF3,adgrf3a,4,5,1,12,80.0,100.0,Class_F
ADGRF3,adgrf3b,8,13,6,3,57.14,92.86,Class_A
ADGRG1,adgrg1,10,12,4,3,71.43,85.71,Class_A
ADGRG2,adgrg2a,13,15,2,1,86.67,100.0,Class_A
ADGRG2,adgrg2a,4,4,0,5,100.0,100.0,Class_F
ADGRG6,adgrg6,14,15,1,0,93.33,100.0,Class_A
ADGRG7,adgrg7.2,5,6,1,11,83.33,100.0,Class_A
ADGRL1,adgrl1a,16,16,0,2,100.0,100.0,Class_A
ADGRL1,adgrl1a,19,21,2,2,90.48,100.0,Class_B1
ADGRL1,adgrl1a,15,15,0,3,100.0,100.0,Class_C
