human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
CCR9,ccr9a,6,2,9,75,Class_F
ADGRD1,adgrd1,6,1,7,85.71,Class_A
ADGRF3,adgrf3b,6,1,10,85.71,Class_F
CRHR1,crhr1,6,0,13,100,Class_C
GPBAR1,gpbar1,7,4,8,63.64,Class_A
MC2R,mc2r,7,3,7,70,Class_A
ADGRD2,adgrd2,7,1,7,87.5,Class_C
GPR142,gpr142,7,1,3,87.5,Class_F
GPRC6A,gprc6a,7,1,14,87.5,Class_C
ADGRE5,adgre5b.3,8,5,13,61.54,Class_B1
CXCR3,cxcr3.1,8,2,7,80,Class_A
GPR25,gpr25,8,2,8,80,Class_A
CHRM4,chrm4b,8,0,9,100,Class_C
CMKLR2,cmklr2,9,6,9,60,Class_B1
PTGER2,ptger2a,9,5,4,64.29,Class_A
XCR1,xcr1b.2,9,5,6,64.29,Class_A
AVPR2,avpr2ab,9,4,7,69.23,Class_B1
CCR9,ccr9b,9,4,6,69.23,Class_A
F2RL2,f2rl2,9,4,5,69.23,Class_A
GPR27,gpr27,9,3,7,75,Class_F
GPR37L1,gpr37l1a,9,3,6,75,Class_A
MLNR,mlnr,9,3,9,75,Class_C
GIPR,gipr,9,0,10,100,Class_C
GPER1,gper1,9,0,7,100,Class_A
P2RY11,p2ry11,10,6,1,62.5,Class_A
ADGRG1,adgrg1,10,4,3,71.43,Class_A
HCAR1,hcar1-2,10,2,5,83.33,Class_A
QRFPR,qrfpra,10,2,12,83.33,Class_B1
ADGRL2,adgrl2a,10,1,5,90.91,Class_F
MTNR1A,mtnr1al,10,0,8,100,Class_A
AGTR1,agtr1a,11,4,9,73.33,Class_B1
GPR151,gpr151,11,4,5,73.33,Class_A
LGR6,lgr6,11,4,9,73.33,Class_F
CCR8,ccr8.1,11,3,7,78.57,Class_C
F2R,f2r,11,3,3,78.57,Class_A
GPR156,gpr156,11,3,2,78.57,Class_A
HCAR1,hcar1-1,11,3,3,78.57,Class_A
KISS1R,kiss1rb,11,2,11,84.62,Class_F
P2RY13,p2ry13,11,2,6,84.62,Class_A
GPR132,gpr132b,11,1,6,91.67,Class_A
GPR37L1,gpr37l1b,11,1,6,91.67,Class_A
NTSR1,ntsr1,11,0,16,100,Class_F
GPRC5B,gprc5bb,12,6,5,66.67,Class_F
F2RL1,f2rl1.1,12,5,0,70.59,Class_A
LTB4R,ltb4r,12,5,3,70.59,Class_A
MCHR1,mchr1b,12,5,3,70.59,Class_A
APLNR,aplnrb,12,4,1,75,Class_A
GCGR,gcgra,12,4,10,75,Class_B1
GPR146,gpr146,12,4,9,75,Class_B1
KISS1R,kiss1ra,12,4,8,75,Class_F
