human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
OXGR1,oxgr1a.2,6,1,17,85.71,Class_C
ADGRG1,adgrg1,7,3,7,70,Class_C
ADGRG7,adgrg7.2,7,3,7,70,Class_A
CCR2,ccr2,7,1,12,87.5,Class_C
GPR142,gpr142,7,1,3,87.5,Class_F
OXGR1,oxgr1b,7,1,13,87.5,Class_A
ADGRE5,adgre5b.2,8,4,8,66.67,Class_C
CCR6,ccr6a,8,4,10,66.67,Class_B1
GPBAR1,gpbar1,8,4,7,66.67,Class_A
CXCR3,cxcr3.1,8,3,6,72.73,Class_A
ACKR4,ackr4b,8,2,9,80,Class_C
ADGRD1,adgrd1,8,1,5,88.89,Class_A
ADGRD2,adgrd2,8,1,6,88.89,Class_C
OXGR1,oxgr1a.3,8,0,16,100,Class_C
PTH1R,pth1r,8,0,5,100,Class_F
CCR9,ccr9b,9,6,4,60,Class_A
F2RL2,f2rl2,9,5,4,64.29,Class_A
XCR1,xcr1b.2,9,5,6,64.29,Class_A
AVPR2,avpr2ab,9,4,7,69.23,Class_B1
GPR25,gpr25,9,4,5,69.23,Class_A
AGTR1,agtr1b,9,3,5,75,Class_A
GPR27,gpr27,9,3,7,75,Class_F
P2RY11,p2ry11,10,6,1,62.5,Class_A
CCR9,ccr9a,10,4,5,71.43,Class_A
AVPR2,avpr2aa,10,3,7,76.92,Class_B1
MLNR,mlnr,10,3,8,76.92,Class_C
MTNR1A,mtnr1al,10,0,8,100,Class_A
GPR151,gpr151,11,4,5,73.33,Class_A
F2R,f2r,11,3,3,78.57,Class_A
GPR132,gpr132a,11,3,4,78.57,Class_A
GPR156,gpr156,11,3,2,78.57,Class_A
HCAR1,hcar1-1,11,4,2,73.33,Class_A
HCAR1,hcar1-2,11,3,3,78.57,Class_A
KISS1R,kiss1rb,11,3,10,78.57,Class_F
GPR132,gpr132b,11,2,5,84.62,Class_A
P2RY13,p2ry13,11,2,6,84.62,Class_A
GPER1,gper1,11,1,4,91.67,Class_A
GPR37L1,gpr37l1a,11,1,10,91.67,Class_C
CCR8,ccr8.1,12,6,3,66.67,Class_C
F2RL1,f2rl1.1,12,5,0,70.59,Class_A
LTB4R,ltb4r,12,5,3,70.59,Class_A
MCHR1,mchr1b,12,5,3,70.59,Class_A
APLNR,aplnrb,12,4,1,75,Class_A
GCGR,gcgra,12,4,10,75,Class_B1
KISS1R,kiss1ra,12,4,8,75,Class_F
LGR6,lgr6,12,4,8,75,Class_F
LTB4R2,ltb4r2b,12,4,2,75,Class_A
GPR183,gpr183a,12,2,3,85.71,Class_A
GIPR,gipr,12,1,6,92.31,Class_C
MC1R,mc1r,12,1,5,92.31,Class_C
NPFFR1,npffr1,12,1,3,92.31,Class_A
OPN3,opn3,13,8,4,61.9,Class_B1
GPRC5B,gprc5bb,13,7,2,65,Class_C
CMKLR1,cmklr1,13,6,1,68.42,Class_C
GPR78,gpr78a,13,5,0,72.22,Class_A
AGTR1,agtr1a,13,4,7,76.47,Class_B1
F2RL1,f2rl1.2,13,4,0,76.47,Class_A
GALR1,galr1b,13,4,6,76.47,Class_F
LTB4R2,ltb4r2a,13,3,2,81.25,Class_A
MCHR1,mchr1a,13,3,4,81.25,Class_A
ADGRA1,adgra1a,13,2,2,86.67,Class_A
GPR84,gpr84,13,2,2,86.67,Class_A
NPFFR1,npffr1l1,13,2,4,86.67,Class_C
PROKR1,prokr1b,13,2,2,86.67,Class_A
QRFPR,qrfprb,13,2,0,86.67,Class_A
S1PR4,s1pr4,13,2,0,86.67,Class_A
FZD3,fzd3b,13,1,9,92.86,Class_C
GPR37,gpr37b,13,1,1,92.86,Class_A
GPR37L1,gpr37l1b,13,1,4,92.86,Class_A
HCRTR2,hcrtr2,13,1,3,92.86,Class_A
LPAR4,lpar4,13,1,2,92.86,Class_A
MCHR2,mchr2a,13,1,1,92.86,Class_F
MC5R,mc5rb,13,0,11,100,Class_F
GPR78,gpr78b,14,7,5,66.67,Class_B1
GPR146,gpr146,14,5,1,73.68,Class_C
GPR176,gpr176,14,3,10,82.35,Class_F
GPR34,gpr34a,14,3,2,82.35,Class_A
ADGRA2,adgra2,14,2,0,87.5,Class_A
CXCR4,cxcr4a,14,2,1,87.5,Class_A
OPRD1,oprd1a,14,2,3,87.5,Class_C
ADGRG6,adgrg6,14,1,0,93.33,Class_A
ADGRL4,adgrl4,14,1,2,93.33,Class_A
NPFFR1,npffr1l2,14,1,1,93.33,Class_A
