human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
ACKR3,ackr3a,10,12,2,2,83.33,100.0
ACKR3,ackr3b,9,11,2,3,81.82,100.0
ACKR4,ackr4b,10,11,3,0,76.92,84.62
ADCYAP1R1,adcyap1r1a,12,13,1,0,92.31,100.0
ADGRA1,adgra1a,13,15,2,2,86.67,100.0
ADGRA2,adgra2,14,16,2,0,87.5,100.0
ADGRA3,adgra3,14,14,0,0,100.0,100.0
ADGRB1,adgrb1a,16,17,1,1,94.12,100.0
ADGRB1,adgrb1b,16,18,2,0,88.89,100.0
ADGRB2,adgrb2,16,17,1,0,94.12,100.0
ADGRB3,adgrb3,18,18,0,0,100.0,100.0
ADGRD1,adgrd1,6,6,1,7,85.71,85.71
ADGRD2,adgrd2,13,17,4,2,76.47,100.0
ADGRE5,adgre5a,0,0,0,19,0.0,0.0
ADGRE5,adgre5b.2,0,0,1,18,0.0,0.0
ADGRE5,adgre5b.3,1,1,1,17,50.0,50.0
ADGRF3,adgrf3a,7,14,8,2,46.67,93.33
ADGRF3,adgrf3b,8,13,6,3,57.14,92.86
ADGRG1,adgrg1,10,12,4,3,71.43,85.71
ADGRG2,adgrg2a,13,15,2,1,86.67,100.0
ADGRG6,adgrg6,14,15,1,0,93.33,100.0
ADGRG7,adgrg7.2,5,6,1,11,83.33,100.0
ADGRL1,adgrl1a,16,16,0,2,100.0,100.0
ADGRL2,adgrl2a,0,0,4,17,0.0,0.0
ADGRL2,adgrl2b.1,0,0,0,21,0.0,0.0
ADGRL3,adgrl3.1,19,19,0,1,100.0,100.0
ADGRL4,adgrl4,14,14,1,2,93.33,93.33
ADORA1,adora1b,19,19,0,0,100.0,100.0
ADORA2A,adora2aa,19,19,1,1,95.0,95.0
ADORA2A,adora2ab,19,20,2,0,90.48,95.24
ADORA2B,adora2b,18,18,1,3,94.74,94.74
ADRA1A,adra1aa,15,16,1,2,93.75,100.0
ADRA1A,adra1ab,14,17,3,1,82.35,100.0
ADRA1B,adra1ba,17,18,1,3,94.44,100.0
ADRA1B,adra1bb,17,19,2,2,89.47,100.0
ADRA1D,adra1d,18,18,0,0,100.0,100.0
ADRA2A,adra2a,18,19,1,0,94.74,100.0
ADRA2B,adra2b,18,19,1,0,94.74,100.0
ADRA2C,adra2c,18,19,1,0,94.74,100.0
ADRB1,adrb1,17,17,1,2,94.44,94.44
ADRB2,adrb2a,18,18,1,1,94.74,94.74
ADRB2,adrb2b,19,19,0,1,100.0,100.0
ADRB3,adrb3a,17,19,2,0,89.47,100.0
ADRB3,adrb3b,17,19,2,0,89.47,100.0
AGTR1,agtr1a,8,13,6,3,57.14,92.86
AGTR1,agtr1b,9,10,3,5,75.0,83.33
AGTR2,agtr2,8,13,5,5,61.54,100.0
APLNR,aplnra,11,15,5,1,68.75,93.75
APLNR,aplnrb,12,15,4,1,75.0,93.75
AVPR1A,avpr1aa,16,18,2,3,88.89,100.0
AVPR1A,avpr1ab,16,18,2,3,88.89,100.0
AVPR2,avpr2aa,6,9,3,9,66.67,100.0
AVPR2,avpr2ab,9,13,5,4,64.29,92.86
BDKRB1,bdkrb1,7,11,7,2,50.0,78.57
C5AR1,c5ar1,4,6,8,4,33.33,50.0
CALCR,calcr,0,0,2,13,0.0,0.0
CALCRL,calcrla,0,0,1,12,0.0,0.0
CALCRL,calcrlb,0,0,0,13,0.0,0.0
CASR,casr,18,19,1,0,94.74,100.0
CCKAR,cckar,14,16,4,0,77.78,88.89
CCKBR,cckbra,13,15,3,3,81.25,93.75
CCR10,ccr10,4,6,4,7,50.0,75.0
CCR2,ccr2,4,8,8,3,33.33,66.67
CCR6,ccr6a,2,6,8,5,20.0,60.0
CCR6,ccr6b,1,4,9,5,10.0,40.0
CCR7,ccr7,9,12,5,3,64.29,85.71
CCR8,ccr8.1,6,9,6,5,50.0,75.0
CCR9,ccr9a,9,12,4,6,69.23,92.31
CCR9,ccr9b,9,12,4,6,69.23,92.31
CELSR1,celsr1a,0,0,1,2,0.0,0.0
CELSR1,celsr1b,0,0,1,2,0.0,0.0
CELSR3,celsr3,0,0,3,2,0.0,0.0
CHRM1,chrm1a,18,18,0,0,100.0,100.0
CHRM2,chrm2a,18,18,0,0,100.0,100.0
CHRM2,chrm2b,18,18,0,0,100.0,100.0
CHRM3,chrm3a,21,22,1,0,95.45,100.0
CHRM3,chrm3b,16,17,1,5,94.12,100.0
