human gene,zebrafish gene,actual class,matched,similarity,mismatched,failed alignments,% failed alignments,% identity,% similarity
CELSR1,celsr1a,Class_F,0,0,0,2,100,0,0
CELSR1,celsr1b,Class_F,0,0,0,2,100,0,0
CRHR2,crhr2,Class_B1,0,0,0,28,100,0,0
PITPNM3,pitpnm3,Class_A,0,0,0,12,100,0,0
MCHR2,mchr2b,Class_A,0,0,1,17,94.44444444,0,0
CELSR3,celsr3,Class_F,0,1,2,13,81.25,0,50
GPRC5B,gprc5bb,Class_A,1,1,4,21,80.76923077,20,20
HRH1,hrh1,Class_A,0,2,3,9,64.28571429,0,66.67
OXGR1,oxgr1b,Class_A,7,7,1,13,61.9047619,87.5,87.5
GPR160,gpr160,Class_A,3,4,3,9,56.25,50,66.67
GPR35,gpr35.1,Class_A,4,5,3,9,52.94117647,57.14,71.43
GHRHR,ghrhrb,Class_B1,6,11,5,15,48.38709677,54.55,100
MTNR1A,mtnr1al,Class_A,10,10,0,8,44.44444444,100,100
NPBWR2,npbwr2a,Class_A,4,5,5,8,44.44444444,44.44,55.56
GPER1,gper1,Class_A,9,9,0,7,43.75,100,100
AVPR2,avpr2aa,Class_A,6,9,3,9,42.85714286,66.67,100
CXCR1,cxcr1,Class_A,6,7,4,8,42.10526316,60,70
GPR25,gpr25,Class_A,8,9,2,8,42.10526316,80,90
CCR10,ccr10,Class_A,4,6,4,7,41.17647059,50,75
LPAR5,lpar5b,Class_A,3,6,6,8,40,33.33,66.67
CXCR3,cxcr3.1,Class_A,8,9,2,7,38.88888889,80,90
MC2R,mc2r,Class_A,7,8,3,7,38.88888889,70,80
VIPR1,vipr1b,Class_B1,14,15,1,10,38.46153846,93.33,100
GPBAR1,gpbar1,Class_A,7,10,4,8,36.36363636,63.64,90.91
GCGR,gcgra,Class_B1,12,14,4,10,35.71428571,75,87.5
CXCR3,cxcr3.2,Class_A,5,8,5,7,35,50,80
GPR27,gpr27,Class_A,8,11,3,7,33.33333333,72.73,100
GPR37L1,gpr37l1a,Class_A,9,9,3,6,33.33333333,75,75
GPR37L1,gpr37l1b,Class_A,11,11,1,6,33.33333333,91.67,91.67
GPR132,gpr132b,Class_A,11,12,1,6,31.57894737,91.67,100
SSTR2,sstr2a,Class_A,12,14,2,7,30.43478261,85.71,100
P2RY13,p2ry13,Class_A,11,12,2,6,30,84.62,92.31
QRFPR,qrfpra,Class_A,7,9,3,5,29.41176471,70,90
CRHR1,crhr1,Class_B1,19,19,1,8,28.57142857,95,95
AGTR1,agtr1b,Class_A,9,10,3,5,27.77777778,75,83.33
CCR6,ccr6b,Class_A,1,4,9,5,27.77777778,10,40
HCAR1,hcar1-2,Class_A,10,11,2,5,27.77777778,83.33,91.67
CCR9,ccr9a,Class_A,9,12,4,6,27.27272727,69.23,92.31
CCR9,ccr9b,Class_A,9,12,4,6,27.27272727,69.23,92.31
CCR6,ccr6a,Class_A,2,6,8,5,26.31578947,20,60
GPR55,gpr55a,Class_A,5,8,6,5,26.31578947,45.45,72.73
MC4R,mc4r,Class_A,12,13,1,5,26.31578947,92.31,100
XCR1,xcr1b.2,Class_A,9,12,5,6,26.08695652,64.29,85.71
CCR8,ccr8.1,Class_A,6,9,6,5,25,50,75
GPR6,gpr6,Class_A,12,15,3,6,25,80,100
SSTR2,sstr2b,Class_A,11,15,4,6,24,73.33,100
F2RL2,f2rl2,Class_A,9,12,4,5,23.80952381,69.23,92.31
NPY4R,npy4r,Class_A,15,15,1,5,23.80952381,93.75,93.75
OPRD1,oprd1a,Class_A,13,14,2,5,23.80952381,86.67,93.33
OPRD1,oprd1b,Class_A,14,15,1,5,23.80952381,93.33,100
FPR1,fpr1,Class_A,5,7,6,4,23.52941176,45.45,63.64
MC1R,mc1r,Class_A,10,11,2,4,23.52941176,83.33,91.67
GPR151,gpr151,Class_A,11,13,4,5,22.72727273,73.33,86.67
C5AR1,c5ar1,Class_A,4,6,8,4,22.22222222,33.33,50
AGTR2,agtr2,Class_A,8,13,5,5,21.73913043,61.54,100
CHRM3,chrm3b,Class_A,16,17,1,5,21.73913043,94.12,100
GPR132,gpr132a,Class_A,11,12,3,4,21.05263158,78.57,85.71
GPR174,gpr174,Class_A,15,15,0,4,21.05263158,100,100
GPR135,gpr135,Class_A,7,12,7,5,20.83333333,50,85.71
PTGER2,ptger2a,Class_A,9,11,5,4,20,64.29,78.57
TRHR,trhrb,Class_A,14,15,1,4,20,93.33,100
LPAR5,lpar5a,Class_A,6,10,7,4,19.04761905,46.15,76.92
PTGER2,ptger2b,Class_A,8,11,6,4,19.04761905,57.14,78.57
ACKR3,ackr3b,Class_A,9,11,2,3,18.75,81.82,100
FZD6,fzd6,Class_F,20,21,1,5,18.51851852,95.24,100
AVPR2,avpr2ab,Class_A,9,13,5,4,18.18181818,64.29,92.86
MCHR1,mchr1a,Class_A,13,15,3,4,18.18181818,81.25,93.75
VIPR1,vipr1a,Class_B1,17,20,3,5,17.85714286,85,100
NPFFR1,npffr1,Class_A,12,13,1,3,17.64705882,92.31,100
OPRK1,oprk1,Class_A,12,13,1,3,17.64705882,92.31,100
GPR18,gpr18,Class_A,12,14,5,4,17.39130435,70.59,82.35
GPR176,gpr176,Class_A,8,14,6,4,16.66666667,57.14,100
GPR183,gpr183a,Class_A,12,13,2,3,16.66666667,85.71,92.86
HCAR1,hcar1-1,Class_A,11,12,3,3,16.66666667,78.57,85.71
HCRTR2,hcrtr2,Class_A,13,14,1,3,16.66666667,92.86,100
KISS1R,kiss1rb,Class_A,9,14,6,4,16.66666667,60,93.33
OPRL1,oprl1,Class_A,9,12,3,3,16.66666667,75,100
OXGR1,oxgr1a.2,Class_A,13,16,4,4,16.66666667,76.47,94.12
OXGR1,oxgr1a.3,Class_A,13,16,4,4,16.66666667,76.47,94.12
CCR2,ccr2,Class_A,4,8,8,3,15.78947368,33.33,66.67
GPR173,gpr173,Class_A,16,16,0,3,15.78947368,100,100
S1PR2,s1pr2,Class_A,13,14,2,3,15.78947368,86.67,93.33
SSTR1,sstr1a,Class_A,14,15,1,3,15.78947368,93.33,100
GHRHR,ghrhra,Class_B1,14,20,7,5,15.625,66.67,95.24
CALCR,calcr,Class_B1,20,20,2,4,15.38461538,90.91,90.91
CCR7,ccr7,Class_A,9,12,5,3,15,64.29,85.71
F2R,f2r,Class_A,11,14,3,3,15,78.57,100
NPY2R,npy2r,Class_A,13,14,3,3,15,81.25,87.5
P2RY2,p2ry2.1,Class_A,15,16,1,3,15,93.75,100
CCKBR,cckbra,Class_A,13,15,3,3,14.28571429,81.25,93.75
LTB4R,ltb4r,Class_A,12,13,5,3,14.28571429,70.59,76.47
NPY2R,npy2rl,Class_A,13,15,3,3,14.28571429,81.25,93.75
PTAFR,ptafr,Class_A,16,17,1,3,14.28571429,94.12,100
TACR3,tacr3l,Class_A,14,15,3,3,14.28571429,82.35,88.24
ADORA2B,adora2b,Class_A,18,18,1,3,13.63636364,94.74,94.74
ADRA1B,adra1ba,Class_A,17,18,1,3,13.63636364,94.44,100
AGTR1,agtr1a,Class_A,8,13,6,3,13.63636364,57.14,92.86
GPR65,gpr65,Class_A,8,13,6,3,13.63636364,57.14,92.86
GPR75,gpr75,Class_A,16,17,2,3,13.63636364,88.89,94.44
LHCGR,lhcgr,Class_A,10,14,5,3,13.63636364,66.67,93.33
GPR142,gpr142,Class_A,9,11,2,2,13.33333333,81.82,100
GPR37,gpr37b,Class_A,13,13,0,2,13.33333333,100,100
AVPR1A,avpr1aa,Class_A,16,18,2,3,13.04347826,88.89,100
AVPR1A,avpr1ab,Class_A,16,18,2,3,13.04347826,88.89,100
GPR139,gpr139,Class_A,18,19,1,3,13.04347826,94.74,100
GPR61,gpr61,Class_A,13,16,4,3,13.04347826,76.47,94.12
KISS1R,kiss1ra,Class_A,10,14,6,3,13.04347826,62.5,87.5
MCHR1,mchr1b,Class_A,12,15,5,3,13.04347826,70.59,88.24
OXGR1,oxgr1a.1,Class_A,15,17,3,3,13.04347826,83.33,94.44
