human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,0,13,15,0.0
ACKR3,ackr3b,1,10,17,9.09
ACKR4,ackr4b,0,3,19,0.0
ADCYAP1R1,adcyap1r1a,0,1,8,0.0
ADGRA1,adgra1a,0,5,12,0.0
ADGRA2,adgra2,14,3,1,82.35
ADGRA3,adgra3,1,3,12,25.0
ADGRB1,adgrb1a,0,3,13,0.0
ADGRB1,adgrb1b,1,6,9,14.29
ADGRB2,adgrb2,14,2,3,87.5
ADGRB3,adgrb3,15,0,5,100.0
ADGRD1,adgrd1,0,1,10,0.0
ADGRD2,adgrd2,0,4,6,0.0
ADGRE5,adgre5a,0,3,13,0.0
ADGRE5,adgre5b.2,0,2,14,0.0
ADGRE5,adgre5b.3,4,5,7,44.44
ADGRF3,adgrf3a,1,1,14,50.0
ADGRF3,adgrf3b,0,2,14,0.0
ADGRG1,adgrg1,0,0,12,0.0
ADGRG2,adgrg2a,1,1,7,50.0
ADGRG6,adgrg6,1,2,9,33.33
ADGRG7,adgrg7.2,0,6,13,0.0
ADGRL1,adgrl1a,0,3,10,0.0
ADGRL2,adgrl2a,6,3,1,66.67
ADGRL2,adgrl2b.1,0,0,10,0.0
ADGRL3,adgrl3.1,0,1,8,0.0
ADGRL4,adgrl4,1,1,8,50.0
ADORA1,adora1b,0,5,13,0.0
ADORA2A,adora2aa,0,0,21,0.0
ADORA2A,adora2ab,1,5,15,16.67
ADORA2B,adora2b,12,7,10,63.16
ADRA1A,adra1aa,0,11,10,0.0
ADRA1A,adra1ab,2,2,17,50.0
ADRA1B,adra1ba,0,2,16,0.0
ADRA1B,adra1bb,0,2,16,0.0
ADRA1D,adra1d,11,3,7,78.57
ADRA2A,adra2a,6,3,3,66.67
ADRA2B,adra2b,9,2,1,81.82
ADRA2C,adra2c,0,9,8,0.0
ADRB1,adrb1,0,3,21,0.0
ADRB2,adrb2a,0,0,26,0.0
ADRB2,adrb2b,0,11,15,0.0
ADRB3,adrb3a,0,3,5,0.0
ADRB3,adrb3b,0,0,8,0.0
AGTR1,agtr1a,1,8,10,11.11
AGTR1,agtr1b,0,7,12,0.0
AGTR2,agtr2,1,7,13,12.5
APLNR,aplnra,0,3,11,0.0
APLNR,aplnrb,0,4,10,0.0
AVPR1A,avpr1aa,1,7,13,12.5
AVPR1A,avpr1ab,1,5,15,16.67
AVPR2,avpr2aa,3,8,11,27.27
AVPR2,avpr2ab,3,5,14,37.5
BDKRB1,bdkrb1,0,1,9,0.0
C5AR1,c5ar1,0,7,7,0.0
CALCR,calcr,1,1,6,50.0
CALCRL,calcrla,0,1,2,0.0
CALCRL,calcrlb,0,1,2,0.0
CASR,casr,20,3,1,86.96
CCKAR,cckar,1,12,12,7.69
CCKBR,cckbra,0,11,20,0.0
CCR10,ccr10,0,0,24,0.0
CCR2,ccr2,0,10,20,0.0
CCR6,ccr6a,0,6,5,0.0
CCR6,ccr6b,0,4,7,0.0
CCR7,ccr7,1,6,26,14.29
CCR8,ccr8.1,1,6,7,14.29
CCR9,ccr9a,0,6,13,0.0
CCR9,ccr9b,0,7,12,0.0
CELSR1,celsr1a,0,0,3,0.0
CELSR1,celsr1b,0,1,2,0.0
CELSR3,celsr3,0,0,0,0.0
CHRM1,chrm1a,0,5,8,0.0
CHRM2,chrm2a,1,5,9,16.67
