human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,10,5,2,66.67
ACKR3,ackr3b,9,6,2,60.0
ACKR4,ackr4b,10,3,1,76.92
ADCYAP1R1,adcyap1r1a,0,11,8,0.0
ADGRA1,adgra1a,0,1,14,0.0
ADGRA2,adgra2,1,0,17,100.0
ADGRA3,adgra3,0,4,2,0.0
ADGRB1,adgrb1a,1,4,14,20.0
ADGRB1,adgrb1b,10,3,6,76.92
ADGRB2,adgrb2,0,1,2,0.0
ADGRB3,adgrb3,3,5,11,37.5
ADGRD1,adgrd1,0,2,6,0.0
ADGRD2,adgrd2,0,5,5,0.0
ADGRE5,adgre5a,0,0,17,0.0
ADGRE5,adgre5b.2,1,7,9,12.5
ADGRE5,adgre5b.3,1,4,12,20.0
ADGRF3,adgrf3a,1,0,0,100.0
ADGRF3,adgrf3b,1,0,0,100.0
ADGRG1,adgrg1,0,6,14,0.0
ADGRG2,adgrg2a,3,8,8,27.27
ADGRG6,adgrg6,0,5,10,0.0
ADGRG7,adgrg7.2,0,10,10,0.0
ADGRL1,adgrl1a,15,0,2,100.0
ADGRL2,adgrl2a,11,0,6,100.0
ADGRL2,adgrl2b.1,0,0,17,0.0
ADGRL3,adgrl3.1,0,1,4,0.0
ADGRL4,adgrl4,2,3,12,40.0
ADORA1,adora1b,19,0,0,100.0
ADORA2A,adora2aa,20,2,1,90.91
ADORA2A,adora2ab,20,2,1,90.91
ADORA2B,adora2b,20,1,1,95.24
ADRA1A,adra1aa,17,1,0,94.44
ADRA1A,adra1ab,15,3,0,83.33
ADRA1B,adra1ba,18,1,2,94.74
ADRA1B,adra1bb,16,2,3,88.89
ADRA1D,adra1d,18,0,0,100.0
ADRA2A,adra2a,18,1,1,94.74
ADRA2B,adra2b,18,1,0,94.74
ADRA2C,adra2c,18,1,0,94.74
ADRB1,adrb1,17,1,2,94.44
ADRB2,adrb2a,18,1,1,94.74
ADRB2,adrb2b,19,0,1,100.0
ADRB3,adrb3a,17,2,0,89.47
ADRB3,adrb3b,17,2,0,89.47
AGTR1,agtr1a,9,6,3,60.0
AGTR1,agtr1b,11,4,3,73.33
AGTR2,agtr2,8,5,4,61.54
APLNR,aplnra,11,5,1,68.75
APLNR,aplnrb,12,4,1,75.0
AVPR1A,avpr1aa,15,2,2,88.24
AVPR1A,avpr1ab,15,2,2,88.24
AVPR2,avpr2aa,9,6,6,60.0
AVPR2,avpr2ab,9,6,6,60.0
BDKRB1,bdkrb1,7,8,1,46.67
C5AR1,c5ar1,5,9,2,35.71
CALCR,calcr,0,2,12,0.0
CALCRL,calcrla,0,1,11,0.0
CALCRL,calcrlb,1,4,7,20.0
CASR,casr,3,8,7,27.27
CCKAR,cckar,14,4,0,77.78
CCKBR,cckbra,13,5,2,72.22
CCR10,ccr10,4,8,4,33.33
CCR2,ccr2,4,9,2,30.77
CCR6,ccr6a,3,10,2,23.08
CCR6,ccr6b,2,10,3,16.67
CCR7,ccr7,9,5,4,64.29
CCR8,ccr8.1,6,6,6,50.0
CCR9,ccr9a,10,5,1,66.67
CCR9,ccr9b,8,6,2,57.14
CELSR1,celsr1a,0,0,0,0.0
CELSR1,celsr1b,0,0,0,0.0
CELSR3,celsr3,0,0,2,0.0
CHRM1,chrm1a,18,0,0,100.0
CHRM2,chrm2a,18,0,0,100.0
CHRM2,chrm2b,18,0,0,100.0
CHRM3,chrm3a,21,1,0,95.45
CHRM3,chrm3b,16,3,3,84.21
CHRM4,chrm4a,18,0,0,100.0
CHRM4,chrm4b,17,1,0,94.44
CHRM5,chrm5a,17,1,0,94.44
CHRM5,chrm5b,16,1,1,94.12
CMKLR1,cmklr1,10,6,2,62.5
CMKLR2,cmklr2,7,8,1,46.67
CNR1,cnr1,16,1,2,94.12
CNR2,cnr2,11,4,3,73.33
CRHR1,crhr1,0,6,11,0.0
CRHR2,crhr2,0,0,12,0.0
CXCR1,cxcr1,7,6,5,53.85
CXCR2,cxcr2,8,7,1,53.33
CXCR3,cxcr3.1,8,3,6,72.73
CXCR3,cxcr3.2,5,9,3,35.71
CXCR4,cxcr4a,15,2,1,88.24
CXCR4,cxcr4b,14,3,1,82.35
CXCR5,cxcr5,6,8,2,42.86
CYSLTR1,cysltr1,14,2,3,87.5
DRD1,drd1a,20,0,0,100.0
DRD1,drd1b,20,0,0,100.0
DRD2,drd2a,19,0,0,100.0
DRD2,drd2b,17,0,2,100.0
DRD3,drd3,18,0,1,100.0
DRD4,drd4a,19,1,0,95.0
DRD4,drd4b,20,0,0,100.0
EDNRA,ednraa,16,0,1,100.0
EDNRA,ednrab,14,2,1,87.5
EDNRB,ednrba,18,0,1,100.0
EDNRB,ednrbb,16,1,2,94.12
