human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,12,1,4,92.31
ACKR3,ackr3b,11,2,4,84.62
ACKR4,ackr4b,14,4,1,77.78
ADCYAP1R1,adcyap1r1a,0,3,13,0.0
ADGRA1,adgra1a,20,1,3,95.24
ADGRA2,adgra2,0,4,17,0.0
ADGRA3,adgra3,20,2,3,90.91
ADGRB1,adgrb1a,23,1,4,95.83
ADGRB1,adgrb1b,23,1,4,95.83
ADGRB2,adgrb2,11,1,15,91.67
ADGRB3,adgrb3,10,0,13,100.0
ADGRD1,adgrd1,0,1,14,0.0
ADGRD2,adgrd2,2,1,10,66.67
ADGRE5,adgre5a,0,0,16,0.0
ADGRE5,adgre5b.2,2,1,13,66.67
ADGRE5,adgre5b.3,9,1,6,90.0
ADGRF3,adgrf3a,7,4,5,63.64
ADGRF3,adgrf3b,9,5,2,64.29
ADGRG1,adgrg1,1,3,13,25.0
ADGRG2,adgrg2a,12,0,3,100.0
ADGRG6,adgrg6,11,1,3,91.67
ADGRG7,adgrg7.2,0,2,14,0.0
ADGRL1,adgrl1a,18,0,1,100.0
ADGRL2,adgrl2a,16,0,1,100.0
ADGRL2,adgrl2b.1,0,0,17,0.0
ADGRL3,adgrl3.1,16,0,1,100.0
ADGRL4,adgrl4,16,1,0,94.12
ADORA1,adora1b,19,0,0,100.0
ADORA2A,adora2aa,21,1,2,95.45
ADORA2A,adora2ab,11,0,13,100.0
ADORA2B,adora2b,21,0,2,100.0
ADRA1A,adra1aa,13,1,2,92.86
ADRA1A,adra1ab,14,1,1,93.33
ADRA1B,adra1ba,15,2,3,88.24
ADRA1B,adra1bb,15,1,4,93.75
ADRA1D,adra1d,15,1,0,93.75
ADRA2A,adra2a,5,0,21,100.0
ADRA2B,adra2b,19,0,0,100.0
ADRA2C,adra2c,0,3,25,0.0
ADRB1,adrb1,2,1,15,66.67
ADRB2,adrb2a,1,0,19,100.0
ADRB2,adrb2b,1,0,19,100.0
ADRB3,adrb3a,4,2,16,66.67
ADRB3,adrb3b,16,3,3,84.21
AGTR1,agtr1a,8,2,11,80.0
AGTR1,agtr1b,5,2,14,71.43
AGTR2,agtr2,13,3,5,81.25
APLNR,aplnra,14,5,3,73.68
APLNR,aplnrb,14,5,3,73.68
AVPR1A,avpr1aa,14,1,5,93.33
AVPR1A,avpr1ab,18,1,1,94.74
AVPR2,avpr2aa,10,2,8,83.33
AVPR2,avpr2ab,7,2,11,77.78
BDKRB1,bdkrb1,12,5,3,70.59
C5AR1,c5ar1,6,9,4,40.0
CALCR,calcr,4,1,7,80.0
CALCRL,calcrla,8,4,1,66.67
CALCRL,calcrlb,6,3,4,66.67
CASR,casr,19,1,2,95.0
CCKAR,cckar,14,6,0,70.0
CCKBR,cckbra,12,5,1,70.59
CCR10,ccr10,3,6,9,33.33
CCR2,ccr2,8,9,5,47.06
CCR6,ccr6a,6,7,9,46.15
CCR6,ccr6b,5,8,9,38.46
CCR7,ccr7,11,5,4,68.75
CCR8,ccr8.1,8,6,7,57.14
CCR9,ccr9a,12,3,6,80.0
CCR9,ccr9b,12,5,4,70.59
CELSR1,celsr1a,0,3,0,0.0
CELSR1,celsr1b,0,0,3,0.0
CELSR3,celsr3,0,0,1,0.0
CHRM1,chrm1a,19,0,1,100.0
CHRM2,chrm2a,0,0,20,0.0
CHRM2,chrm2b,0,1,19,0.0
CHRM3,chrm3a,18,1,2,94.74
CHRM3,chrm3b,8,1,12,88.89
CHRM4,chrm4a,0,2,21,0.0
CHRM4,chrm4b,0,2,21,0.0
CHRM5,chrm5a,0,2,18,0.0
CHRM5,chrm5b,0,0,20,0.0
CMKLR1,cmklr1,12,7,3,63.16
CMKLR2,cmklr2,8,2,10,80.0
CNR1,cnr1,23,1,0,95.83
CNR2,cnr2,17,2,1,89.47
CRHR1,crhr1,12,0,4,100.0
CRHR2,crhr2,0,1,15,0.0
CXCR1,cxcr1,9,4,7,69.23
CXCR2,cxcr2,11,6,2,64.71
CXCR3,cxcr3.1,11,3,5,78.57
CXCR3,cxcr3.2,7,8,4,46.67
CXCR4,cxcr4a,18,1,2,94.74
CXCR4,cxcr4b,15,3,3,83.33
CXCR5,cxcr5,8,7,5,53.33
CYSLTR1,cysltr1,13,1,4,92.86
DRD1,drd1a,18,0,1,100.0
DRD1,drd1b,17,0,2,100.0
DRD2,drd2a,0,1,13,0.0
DRD2,drd2b,0,2,12,0.0
DRD3,drd3,1,3,18,25.0
DRD4,drd4a,0,2,27,0.0
DRD4,drd4b,0,2,27,0.0
EDNRA,ednraa,20,1,0,95.24
EDNRA,ednrab,18,1,2,94.74
EDNRB,ednrba,20,0,2,100.0
EDNRB,ednrbb,17,3,2,85.0
F2R,f2r,18,2,2,90.0
F2RL1,f2rl1.1,17,3,1,85.0
F2RL1,f2rl1.2,17,3,1,85.0
F2RL2,f2rl2,10,5,7,66.67
FPR1,fpr1,3,7,7,30.0
FSHR,fshr,21,2,1,91.3
FZD1,fzd1,22,0,2,100.0
FZD10,fzd10,17,1,5,94.44
FZD2,fzd2,17,2,5,89.47
FZD3,fzd3a,16,1,7,94.12
FZD3,fzd3b,23,1,0,95.83
FZD4,fzd4,16,5,1,76.19
FZD5,fzd5,17,2,4,89.47
FZD6,fzd6,17,3,4,85.0
FZD7,fzd7a,19,2,2,90.48
FZD7,fzd7b,19,2,2,90.48
FZD8,fzd8a,18,3,1,85.71
FZD8,fzd8b,18,3,1,85.71
FZD9,fzd9a,18,0,2,100.0
FZD9,fzd9b,18,0,2,100.0
GABBR1,gabbr1a,15,0,5,100.0
GABBR1,gabbr1b,16,0,4,100.0
GABBR2,gabbr2,14,1,0,93.33
GALR1,galr1a,20,0,0,100.0
GALR1,galr1b,13,3,4,81.25
GALR2,galr2a,20,3,0,86.96
GALR2,galr2b,19,3,1,86.36
GCGR,gcgra,6,4,2,60.0
GCGR,gcgrb,7,4,1,63.64
GHRHR,ghrhra,0,2,16,0.0
GHRHR,ghrhrb,1,2,15,33.33
GHSR,ghsra,15,0,1,100.0
GHSR,ghsrb,15,0,1,100.0
GIPR,gipr,2,1,12,66.67
GPBAR1,gpbar1,7,5,8,58.33
GPER1,gper1,4,2,12,66.67
GPR101,gpr101,9,8,3,52.94
GPR12,gpr12,14,3,5,82.35
GPR132,gpr132a,12,2,10,85.71
GPR132,gpr132b,14,3,7,82.35
GPR135,gpr135,0,2,18,0.0
GPR139,gpr139,17,1,3,94.44
GPR142,gpr142,7,2,7,77.78
GPR146,gpr146,11,5,2,68.75
GPR151,gpr151,13,5,5,72.22
