human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,9,4,2,69.23
ACKR3,ackr3b,3,3,9,50.0
ACKR4,ackr4b,10,3,1,76.92
ADCYAP1R1,adcyap1r1a,0,1,4,0.0
ADGRA1,adgra1a,1,7,8,12.5
ADGRA2,adgra2,7,2,1,77.78
ADGRA3,adgra3,14,1,2,93.33
ADGRB1,adgrb1a,14,1,0,93.33
ADGRB1,adgrb1b,14,1,0,93.33
ADGRB2,adgrb2,15,1,2,93.75
ADGRB3,adgrb3,3,4,11,42.86
ADGRD1,adgrd1,1,4,8,20.0
ADGRD2,adgrd2,11,2,1,84.62
ADGRE5,adgre5a,1,3,14,25.0
ADGRE5,adgre5b.2,9,4,5,69.23
ADGRE5,adgre5b.3,10,3,5,76.92
ADGRF3,adgrf3a,7,5,1,58.33
ADGRF3,adgrf3b,7,5,1,58.33
ADGRG1,adgrg1,2,6,9,25.0
ADGRG2,adgrg2a,8,1,6,88.89
ADGRG6,adgrg6,11,1,3,91.67
ADGRG7,adgrg7.2,4,10,6,28.57
ADGRL1,adgrl1a,17,0,2,100.0
ADGRL2,adgrl2a,16,0,1,100.0
ADGRL2,adgrl2b.1,0,1,16,0.0
ADGRL3,adgrl3.1,18,0,0,100.0
ADGRL4,adgrl4,16,1,1,94.12
ADORA1,adora1b,17,0,2,100.0
ADORA2A,adora2aa,20,2,1,90.91
ADORA2A,adora2ab,21,2,0,91.3
ADORA2B,adora2b,21,1,1,95.45
ADRA1A,adra1aa,17,1,0,94.44
ADRA1A,adra1ab,15,3,0,83.33
ADRA1B,adra1ba,17,1,2,94.44
ADRA1B,adra1bb,16,2,2,88.89
ADRA1D,adra1d,18,0,0,100.0
ADRA2A,adra2a,19,1,0,95.0
ADRA2B,adra2b,18,1,0,94.74
ADRA2C,adra2c,1,4,0,20.0
ADRB1,adrb1,17,1,2,94.44
ADRB2,adrb2a,18,1,1,94.74
ADRB2,adrb2b,19,0,1,100.0
ADRB3,adrb3a,17,2,0,89.47
ADRB3,adrb3b,17,2,0,89.47
AGTR1,agtr1a,6,7,7,46.15
AGTR1,agtr1b,10,6,4,62.5
AGTR2,agtr2,0,8,16,0.0
APLNR,aplnra,10,5,4,66.67
APLNR,aplnrb,12,4,3,75.0
AVPR1A,avpr1aa,14,2,4,87.5
AVPR1A,avpr1ab,15,2,3,88.24
AVPR2,avpr2aa,9,5,4,64.29
AVPR2,avpr2ab,10,6,2,62.5
BDKRB1,bdkrb1,7,8,1,46.67
C5AR1,c5ar1,4,8,3,33.33
CALCR,calcr,4,3,1,57.14
CALCRL,calcrla,2,3,4,40.0
CALCRL,calcrlb,7,1,1,87.5
CASR,casr,0,10,10,0.0
CCKAR,cckar,1,6,11,14.29
CCKBR,cckbra,13,5,2,72.22
CCR10,ccr10,4,8,3,33.33
CCR2,ccr2,3,10,4,23.08
CCR6,ccr6a,0,7,10,0.0
CCR6,ccr6b,0,7,10,0.0
CCR7,ccr7,8,6,3,57.14
CCR8,ccr8.1,0,7,11,0.0
CCR9,ccr9a,2,2,10,50.0
