human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,0,5,25,0.0
ACKR3,ackr3b,13,7,10,65.0
ACKR4,ackr4b,1,9,24,10.0
ADCYAP1R1,adcyap1r1a,0,5,22,0.0
ADGRA1,adgra1a,0,6,16,0.0
ADGRA2,adgra2,0,1,10,0.0
ADGRA3,adgra3,0,2,8,0.0
ADGRB1,adgrb1a,18,2,1,90.0
ADGRB1,adgrb1b,18,3,0,85.71
ADGRB2,adgrb2,0,11,10,0.0
ADGRB3,adgrb3,1,9,13,10.0
ADGRD1,adgrd1,0,2,13,0.0
ADGRD2,adgrd2,4,1,6,80.0
ADGRE5,adgre5a,0,1,17,0.0
ADGRE5,adgre5b.2,5,5,8,50.0
ADGRE5,adgre5b.3,5,1,12,83.33
ADGRF3,adgrf3a,0,7,8,0.0
ADGRF3,adgrf3b,0,1,14,0.0
ADGRG1,adgrg1,0,2,14,0.0
ADGRG2,adgrg2a,3,1,4,75.0
ADGRG6,adgrg6,0,2,7,0.0
ADGRG7,adgrg7.2,0,1,16,0.0
ADGRL1,adgrl1a,0,3,12,0.0
ADGRL2,adgrl2a,1,2,13,33.33
ADGRL2,adgrl2b.1,0,0,16,0.0
ADGRL3,adgrl3.1,0,0,10,0.0
ADGRL4,adgrl4,0,1,11,0.0
ADORA1,adora1b,11,1,7,91.67
ADORA2A,adora2aa,16,2,5,88.89
ADORA2A,adora2ab,1,2,20,33.33
ADORA2B,adora2b,16,2,5,88.89
ADRA1A,adra1aa,0,6,12,0.0
ADRA1A,adra1ab,0,5,13,0.0
ADRA1B,adra1ba,15,3,3,83.33
ADRA1B,adra1bb,0,6,15,0.0
ADRA1D,adra1d,0,5,13,0.0
ADRA2A,adra2a,0,8,21,0.0
ADRA2B,adra2b,0,1,16,0.0
ADRA2C,adra2c,0,4,15,0.0
ADRB1,adrb1,0,4,17,0.0
ADRB2,adrb2a,11,12,2,47.83
ADRB2,adrb2b,10,5,10,66.67
ADRB3,adrb3a,12,2,7,85.71
ADRB3,adrb3b,1,3,17,25.0
AGTR1,agtr1a,0,3,14,0.0
AGTR1,agtr1b,2,1,14,66.67
AGTR2,agtr2,0,6,13,0.0
APLNR,aplnra,0,4,13,0.0
APLNR,aplnrb,5,5,7,50.0
AVPR1A,avpr1aa,1,8,15,11.11
AVPR1A,avpr1ab,1,0,23,100.0
AVPR2,avpr2aa,5,5,9,50.0
AVPR2,avpr2ab,3,7,9,30.0
BDKRB1,bdkrb1,0,6,14,0.0
C5AR1,c5ar1,2,9,10,18.18
CALCR,calcr,0,2,20,0.0
CALCRL,calcrla,2,1,4,66.67
CALCRL,calcrlb,0,0,7,0.0
CASR,casr,0,11,23,0.0
CCKAR,cckar,1,3,18,25.0
CCKBR,cckbra,3,1,21,75.0
CCR10,ccr10,0,5,13,0.0
CCR2,ccr2,1,5,18,16.67
CCR6,ccr6a,1,4,17,20.0
CCR6,ccr6b,1,6,15,14.29
CCR7,ccr7,1,5,12,16.67
CCR8,ccr8.1,2,8,14,20.0
CCR9,ccr9a,0,4,10,0.0
CCR9,ccr9b,0,6,8,0.0
CELSR1,celsr1a,0,0,9,0.0
CELSR1,celsr1b,0,0,9,0.0
CELSR3,celsr3,0,2,6,0.0
CHRM1,chrm1a,15,3,1,83.33
CHRM2,chrm2a,6,2,18,75.0
CHRM2,chrm2b,6,2,18,75.0
CHRM3,chrm3a,13,7,4,65.0
CHRM3,chrm3b,10,8,6,55.56
CHRM4,chrm4a,1,10,16,9.09
CHRM4,chrm4b,0,5,22,0.0
CHRM5,chrm5a,12,3,4,80.0
CHRM5,chrm5b,11,6,2,64.71
CMKLR1,cmklr1,1,8,18,11.11
CMKLR2,cmklr2,2,6,20,25.0
CNR1,cnr1,0,6,25,0.0
CNR2,cnr2,20,4,0,83.33
CRHR1,crhr1,1,8,21,11.11
CRHR2,crhr2,0,0,9,0.0
CXCR1,cxcr1,1,1,30,50.0
CXCR2,cxcr2,0,3,14,0.0
CXCR3,cxcr3.1,1,6,27,14.29
CXCR3,cxcr3.2,1,15,18,6.25
CXCR4,cxcr4a,0,2,16,0.0
CXCR4,cxcr4b,0,6,12,0.0
CXCR5,cxcr5,0,3,13,0.0
CYSLTR1,cysltr1,1,7,20,12.5
DRD1,drd1a,0,3,16,0.0
DRD1,drd1b,0,4,15,0.0
DRD2,drd2a,11,3,0,78.57
DRD2,drd2b,0,3,11,0.0
DRD3,drd3,1,5,20,16.67
DRD4,drd4a,0,7,17,0.0
DRD4,drd4b,0,7,17,0.0
EDNRA,ednraa,13,0,2,100.0
EDNRA,ednrab,11,0,4,100.0
EDNRB,ednrba,15,2,2,88.24
EDNRB,ednrbb,10,2,7,83.33
F2R,f2r,0,7,22,0.0
F2RL1,f2rl1.1,0,8,16,0.0
F2RL1,f2rl1.2,0,6,18,0.0
F2RL2,f2rl2,1,8,18,11.11
FPR1,fpr1,8,6,12,57.14
FSHR,fshr,0,5,10,0.0
FZD1,fzd1,22,2,2,91.67
FZD10,fzd10,25,1,1,96.15
FZD2,fzd2,21,2,1,91.3
FZD3,fzd3a,19,3,1,86.36
FZD3,fzd3b,20,2,1,90.91
FZD4,fzd4,22,5,4,81.48
FZD5,fzd5,23,3,1,88.46
FZD6,fzd6,20,2,4,90.91
FZD7,fzd7a,19,3,4,86.36
FZD7,fzd7b,20,2,4,90.91
FZD8,fzd8a,23,3,1,88.46
FZD8,fzd8b,21,5,1,80.77
FZD9,fzd9a,21,4,3,84.0
FZD9,fzd9b,22,2,4,91.67
GABBR1,gabbr1a,1,10,16,9.09
GABBR1,gabbr1b,0,5,22,0.0
GABBR2,gabbr2,3,5,9,37.5
GALR1,galr1a,14,1,3,93.33
GALR1,galr1b,11,2,5,84.62
GALR2,galr2a,13,2,3,86.67
GALR2,galr2b,11,5,2,68.75
GCGR,gcgra,0,9,16,0.0
GCGR,gcgrb,0,5,20,0.0
GHRHR,ghrhra,0,3,15,0.0
GHRHR,ghrhrb,0,3,15,0.0
GHSR,ghsra,1,4,27,20.0
GHSR,ghsrb,1,5,26,16.67
GIPR,gipr,1,3,21,25.0
GPBAR1,gpbar1,1,3,21,25.0
GPER1,gper1,0,3,19,0.0
GPR101,gpr101,4,10,7,28.57
GPR12,gpr12,17,2,8,89.47
GPR132,gpr132a,1,5,24,16.67
GPR132,gpr132b,3,7,20,30.0
GPR135,gpr135,1,5,13,16.67
GPR139,gpr139,1,4,16,20.0
GPR142,gpr142,0,6,16,0.0
GPR146,gpr146,3,6,9,33.33
GPR151,gpr151,4,2,23,66.67
GPR153,gpr153,18,5,2,78.26
GPR156,gpr156,0,3,26,0.0
GPR158,gpr158a,1,3,23,25.0
GPR158,gpr158b,10,3,14,76.92
GPR160,gpr160,0,4,6,0.0
GPR161,gpr161b,0,2,13,0.0
GPR17,gpr17,0,8,23,0.0
GPR171,gpr171,12,8,6,60.0
GPR173,gpr173,1,7,17,12.5
GPR174,gpr174,3,7,26,30.0
GPR176,gpr176,0,8,12,0.0
GPR18,gpr18,14,3,13,82.35
GPR183,gpr183a,1,6,18,14.29
GPR183,gpr183b,0,9,16,0.0
GPR19,gpr19,3,7,24,30.0
GPR20,gpr20,1,6,17,14.29
GPR22,gpr22a,1,9,20,10.0
GPR22,gpr22b,24,2,4,92.31
GPR25,gpr25,1,6,18,14.29
GPR26,gpr26,0,5,21,0.0
GPR27,gpr27,7,3,7,70.0
GPR3,gpr3,12,7,9,63.16
GPR34,gpr34a,9,5,9,64.29
GPR34,gpr34b,9,2,12,81.82
GPR35,gpr35.1,0,6,13,0.0
GPR37,gpr37a,0,5,13,0.0
GPR37,gpr37b,0,2,16,0.0
GPR37L1,gpr37l1a,1,6,12,14.29
GPR37L1,gpr37l1b,4,4,11,50.0
GPR39,gpr39,2,6,16,25.0
GPR4,gpr4,1,9,15,10.0
GPR45,gpr45,20,6,7,76.92
GPR52,gpr52,23,2,4,92.0
GPR55,gpr55a,1,5,23,16.67
GPR6,gpr6,1,6,18,14.29
GPR61,gpr61,0,6,26,0.0
GPR63,gpr63,21,2,10,91.3
GPR65,gpr65,0,9,23,0.0
GPR75,gpr75,3,9,17,25.0
GPR78,gpr78a,16,7,4,69.57
GPR78,gpr78b,15,6,6,71.43
GPR84,gpr84,10,6,10,62.5
GPR85,gpr85,1,7,21,12.5
GPRC5B,gprc5ba,0,8,12,0.0
GPRC5B,gprc5bb,8,3,9,72.73
GPRC5C,gprc5c,2,6,18,25.0
GPRC6A,gprc6a,1,8,18,11.11
GRM1,grm1a,0,4,18,0.0
GRM1,grm1b,3,4,15,42.86
GRM2,grm2a,1,2,21,33.33
GRM2,grm2b,17,5,2,77.27
GRM3,grm3,24,0,2,100.0
GRM4,grm4,20,1,8,95.24
GRM5,grm5a,25,0,1,100.0
GRM5,grm5b,23,1,2,95.83
GRM6,grm6a,0,3,19,0.0
GRM6,grm6b,2,2,18,50.0
GRM8,grm8a,17,3,8,85.0
GRM8,grm8b,22,3,3,88.0
HCAR1,hcar1-1,0,5,23,0.0
HCAR1,hcar1-2,8,11,9,42.11
HCRTR2,hcrtr2,4,3,20,57.14
HRH1,hrh1,0,7,22,0.0
HRH2,hrh2a,0,9,14,0.0
HRH2,hrh2b,10,6,7,62.5
HRH3,hrh3,0,4,14,0.0
HTR1A,htr1aa,2,5,19,28.57
HTR1A,htr1ab,0,4,22,0.0
HTR1B,htr1b,14,5,3,73.68
HTR1D,htr1d,2,6,15,25.0
HTR1F,htr1fa,0,8,17,0.0
HTR1F,htr1fb,0,3,22,0.0
HTR2A,htr2ab,0,7,11,0.0
HTR2B,htr2b,1,4,13,20.0
HTR4,htr4,21,5,1,80.77
HTR5A,htr5aa,18,5,3,78.26
HTR5A,htr5ab,18,5,3,78.26
HTR6,htr6,0,6,21,0.0
HTR7,htr7a,0,10,15,0.0
KISS1R,kiss1ra,15,3,5,83.33
KISS1R,kiss1rb,13,5,5,72.22
LGR4,lgr4,0,6,16,0.0
LGR6,lgr6,10,5,8,66.67
LHCGR,lhcgr,0,8,19,0.0
LPAR1,lpar1,24,0,3,100.0
LPAR2,lpar2a,18,5,3,78.26
LPAR2,lpar2b,1,2,23,33.33
LPAR3,lpar3,0,6,20,0.0
LPAR4,lpar4,17,2,8,89.47
LPAR5,lpar5a,0,12,14,0.0
LPAR5,lpar5b,1,11,14,8.33
LPAR6,lpar6a,0,10,14,0.0
LPAR6,lpar6b,1,7,16,12.5
LTB4R,ltb4r,0,4,17,0.0
LTB4R2,ltb4r2a,0,7,20,0.0
LTB4R2,ltb4r2b,0,6,21,0.0
MC1R,mc1r,2,16,12,11.11
MC2R,mc2r,3,7,18,30.0
MC3R,mc3r,9,3,1,75.0
MC4R,mc4r,0,3,23,0.0
MC5R,mc5ra,21,2,9,91.3
MC5R,mc5rb,0,3,29,0.0
MCHR1,mchr1a,1,2,24,33.33
MCHR1,mchr1b,6,7,14,46.15
