human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,2,10,11,16.67
ACKR3,ackr3b,3,9,11,25.0
ACKR4,ackr4b,14,6,2,70.0
ADCYAP1R1,adcyap1r1a,0,17,9,0.0
ADGRA1,adgra1a,15,8,1,65.22
ADGRA2,adgra2,2,9,15,18.18
ADGRA3,adgra3,13,10,1,56.52
ADGRB1,adgrb1a,26,0,1,100.0
ADGRB1,adgrb1b,25,0,2,100.0
ADGRB2,adgrb2,1,12,13,7.69
ADGRB3,adgrb3,2,14,7,12.5
ADGRD1,adgrd1,1,9,15,10.0
ADGRD2,adgrd2,19,3,2,86.36
ADGRE5,adgre5a,1,5,19,16.67
ADGRE5,adgre5b.2,16,9,0,64.0
ADGRE5,adgre5b.3,11,10,4,52.38
ADGRF3,adgrf3a,10,9,4,52.63
ADGRF3,adgrf3b,9,12,2,42.86
ADGRG1,adgrg1,7,14,6,33.33
ADGRG2,adgrg2a,14,6,8,70.0
ADGRG6,adgrg6,12,9,5,57.14
ADGRG7,adgrg7.2,7,3,17,70.0
ADGRL1,adgrl1a,22,2,0,91.67
ADGRL2,adgrl2a,23,2,0,92.0
ADGRL2,adgrl2b.1,1,2,22,33.33
ADGRL3,adgrl3.1,20,2,2,90.91
ADGRL4,adgrl4,19,3,1,86.36
ADORA1,adora1b,20,3,3,86.96
ADORA2A,adora2aa,2,12,10,14.29
ADORA2A,adora2ab,17,1,6,94.44
ADORA2B,adora2b,0,13,12,0.0
ADRA1A,adra1aa,2,14,7,12.5
ADRA1A,adra1ab,2,8,13,20.0
ADRA1B,adra1ba,3,10,14,23.08
ADRA1B,adra1bb,1,8,18,11.11
ADRA1D,adra1d,3,11,9,21.43
ADRA2A,adra2a,8,6,14,57.14
ADRA2B,adra2b,21,3,1,87.5
ADRA2C,adra2c,0,15,7,0.0
ADRB1,adrb1,0,10,12,0.0
ADRB2,adrb2a,2,12,11,14.29
ADRB2,adrb2b,5,7,13,41.67
ADRB3,adrb3a,0,10,13,0.0
ADRB3,adrb3b,2,12,9,14.29
AGTR1,agtr1a,2,10,12,16.67
AGTR1,agtr1b,0,8,16,0.0
AGTR2,agtr2,0,13,10,0.0
APLNR,aplnra,2,13,9,13.33
APLNR,aplnrb,0,13,11,0.0
AVPR1A,avpr1aa,1,7,16,12.5
AVPR1A,avpr1ab,0,12,12,0.0
AVPR2,avpr2aa,1,12,9,7.69
AVPR2,avpr2ab,1,9,12,10.0
BDKRB1,bdkrb1,0,15,7,0.0
C5AR1,c5ar1,8,10,8,44.44
CALCR,calcr,23,1,0,95.83
CALCRL,calcrla,22,3,0,88.0
CALCRL,calcrlb,21,3,1,87.5
CASR,casr,20,2,3,90.91
CCKAR,cckar,1,14,12,6.67
CCKBR,cckbra,19,7,1,73.08
CCR10,ccr10,0,12,12,0.0
CCR2,ccr2,0,14,10,0.0
CCR6,ccr6a,0,11,13,0.0
CCR6,ccr6b,12,7,5,63.16
CCR7,ccr7,1,10,12,9.09
CCR8,ccr8.1,0,9,21,0.0
CCR9,ccr9a,3,13,8,18.75
CCR9,ccr9b,3,13,8,18.75
CELSR1,celsr1a,0,0,0,0.0
CELSR1,celsr1b,0,0,0,0.0
CELSR3,celsr3,0,2,0,0.0
CHRM1,chrm1a,9,5,8,64.29
CHRM2,chrm2a,1,17,5,5.56
CHRM2,chrm2b,19,3,1,86.36
CHRM3,chrm3a,0,8,9,0.0
CHRM3,chrm3b,0,10,7,0.0
CHRM4,chrm4a,1,8,13,11.11
CHRM4,chrm4b,1,9,12,10.0
CHRM5,chrm5a,7,7,9,50.0
CHRM5,chrm5b,2,14,7,12.5
CMKLR1,cmklr1,3,13,14,18.75
CMKLR2,cmklr2,2,9,8,18.18
CNR1,cnr1,0,14,10,0.0
CNR2,cnr2,11,7,2,61.11
CRHR1,crhr1,21,3,2,87.5
CRHR2,crhr2,0,7,24,0.0
CXCR1,cxcr1,18,3,5,85.71
CXCR2,cxcr2,17,7,2,70.83
CXCR3,cxcr3.1,14,9,3,60.87
CXCR3,cxcr3.2,18,7,1,72.0
CXCR4,cxcr4a,20,1,2,95.24
CXCR4,cxcr4b,19,2,2,90.48
CXCR5,cxcr5,3,8,11,27.27
CYSLTR1,cysltr1,1,8,8,11.11
DRD1,drd1a,25,0,2,100.0
DRD1,drd1b,1,16,10,5.88
DRD2,drd2a,4,7,8,36.36
DRD2,drd2b,3,7,9,30.0
DRD3,drd3,1,12,7,7.69
DRD4,drd4a,21,1,2,95.45
DRD4,drd4b,20,2,2,90.91
EDNRA,ednraa,23,3,0,88.46
EDNRA,ednrab,22,3,1,88.0
EDNRB,ednrba,0,9,16,0.0
EDNRB,ednrbb,0,11,14,0.0
F2R,f2r,15,7,3,68.18
F2RL1,f2rl1.1,2,12,15,14.29
F2RL1,f2rl1.2,18,8,3,69.23
F2RL2,f2rl2,12,13,3,48.0
FPR1,fpr1,1,13,12,7.14
FSHR,fshr,17,3,5,85.0
FZD1,fzd1,20,1,3,95.24
FZD10,fzd10,1,9,15,10.0
FZD2,fzd2,22,2,3,91.67
FZD3,fzd3a,18,2,5,90.0
FZD3,fzd3b,22,0,3,100.0
FZD4,fzd4,27,0,1,100.0
FZD5,fzd5,2,10,15,16.67
FZD6,fzd6,8,9,13,47.06
FZD7,fzd7a,18,0,5,100.0
FZD7,fzd7b,17,0,6,100.0
FZD8,fzd8a,2,11,10,15.38
FZD8,fzd8b,0,14,9,0.0
FZD9,fzd9a,13,3,7,81.25
FZD9,fzd9b,12,5,6,70.59
GABBR1,gabbr1a,10,5,9,66.67
GABBR1,gabbr1b,11,4,9,73.33
GABBR2,gabbr2,20,0,2,100.0
GALR1,galr1a,3,13,9,18.75
GALR1,galr1b,19,5,1,79.17
GALR2,galr2a,0,11,14,0.0
GALR2,galr2b,17,7,1,70.83
GCGR,gcgra,14,7,5,66.67
GCGR,gcgrb,21,5,0,80.77
GHRHR,ghrhra,17,8,0,68.0
GHRHR,ghrhrb,16,8,1,66.67
GHSR,ghsra,0,10,12,0.0
GHSR,ghsrb,1,12,9,7.69
GIPR,gipr,21,3,2,87.5
GPBAR1,gpbar1,0,12,9,0.0
GPER1,gper1,17,3,2,85.0
GPR101,gpr101,1,12,14,7.69
GPR12,gpr12,22,0,8,100.0
GPR132,gpr132a,2,12,11,14.29
GPR132,gpr132b,1,12,12,7.69
GPR135,gpr135,1,7,15,12.5
GPR139,gpr139,20,2,2,90.91
GPR142,gpr142,0,9,14,0.0
GPR146,gpr146,4,10,13,28.57
GPR151,gpr151,2,11,17,15.38
GPR153,gpr153,2,14,12,12.5
GPR156,gpr156,3,12,10,20.0
GPR158,gpr158a,24,0,4,100.0
GPR158,gpr158b,24,4,0,85.71
GPR160,gpr160,9,9,5,50.0
GPR161,gpr161b,13,12,6,52.0
GPR17,gpr17,17,11,0,60.71
GPR171,gpr171,19,7,1,73.08
GPR173,gpr173,25,2,0,92.59
GPR174,gpr174,20,6,2,76.92
GPR176,gpr176,11,7,7,61.11
GPR18,gpr18,0,15,12,0.0
GPR183,gpr183a,1,14,12,6.67
GPR183,gpr183b,1,15,11,6.25
GPR19,gpr19,16,6,0,72.73
GPR20,gpr20,4,12,12,25.0
GPR22,gpr22a,0,8,13,0.0
GPR22,gpr22b,12,5,4,70.59
GPR25,gpr25,0,14,14,0.0
GPR26,gpr26,10,9,7,52.63
GPR27,gpr27,1,14,12,6.67
GPR3,gpr3,14,7,2,66.67
GPR34,gpr34a,17,5,4,77.27
GPR34,gpr34b,15,8,3,65.22
GPR35,gpr35.1,15,10,2,60.0
GPR37,gpr37a,2,17,8,10.53
GPR37,gpr37b,2,17,8,10.53
GPR37L1,gpr37l1a,3,10,9,23.08
GPR37L1,gpr37l1b,5,11,6,31.25
GPR39,gpr39,1,9,14,10.0
GPR4,gpr4,1,14,11,6.67
GPR45,gpr45,0,11,19,0.0
GPR52,gpr52,3,5,15,37.5
GPR55,gpr55a,1,15,8,6.25
GPR6,gpr6,18,3,3,85.71
GPR61,gpr61,12,7,6,63.16
GPR63,gpr63,1,9,11,10.0
GPR65,gpr65,8,11,9,42.11
GPR75,gpr75,19,4,4,82.61
GPR78,gpr78a,6,11,10,35.29
GPR78,gpr78b,16,11,0,59.26
GPR84,gpr84,3,7,8,30.0
GPR85,gpr85,19,3,6,86.36
GPRC5B,gprc5ba,13,13,0,50.0
GPRC5B,gprc5bb,9,10,7,47.37
GPRC5C,gprc5c,14,9,3,60.87
GPRC6A,gprc6a,16,7,3,69.57
GRM1,grm1a,10,5,12,66.67
GRM1,grm1b,11,5,11,68.75
GRM2,grm2a,19,0,6,100.0
GRM2,grm2b,24,1,0,96.0
GRM3,grm3,21,2,0,91.3
GRM4,grm4,24,0,4,100.0
GRM5,grm5a,19,2,5,90.48
GRM5,grm5b,21,1,4,95.45
GRM6,grm6a,21,4,2,84.0
GRM6,grm6b,23,3,1,88.46
GRM8,grm8a,26,0,0,100.0
GRM8,grm8b,25,0,1,100.0
HCAR1,hcar1-1,16,9,2,64.0
HCAR1,hcar1-2,16,8,3,66.67
HCRTR2,hcrtr2,0,11,11,0.0
HRH1,hrh1,0,12,16,0.0
HRH2,hrh2a,0,14,12,0.0
HRH2,hrh2b,1,8,17,11.11
HRH3,hrh3,21,3,2,87.5
HTR1A,htr1aa,20,1,4,95.24
HTR1A,htr1ab,22,0,3,100.0
HTR1B,htr1b,6,7,15,46.15
HTR1D,htr1d,6,6,11,50.0
HTR1F,htr1fa,1,13,7,7.14
HTR1F,htr1fb,2,10,9,16.67
HTR2A,htr2ab,16,4,5,80.0
HTR2B,htr2b,0,10,6,0.0
HTR4,htr4,2,9,16,18.18
HTR5A,htr5aa,23,0,1,100.0
HTR5A,htr5ab,23,0,1,100.0
HTR6,htr6,1,17,9,5.56
HTR7,htr7a,0,14,8,0.0
KISS1R,kiss1ra,1,15,9,6.25
KISS1R,kiss1rb,1,10,14,9.09
LGR4,lgr4,2,10,11,16.67
LGR6,lgr6,13,7,3,65.0
LHCGR,lhcgr,16,3,1,84.21
LPAR1,lpar1,22,1,1,95.65
LPAR2,lpar2a,19,4,2,82.61
LPAR2,lpar2b,22,3,0,88.0
LPAR3,lpar3,0,8,15,0.0
LPAR4,lpar4,21,4,2,84.0
LPAR5,lpar5a,7,11,8,38.89
LPAR5,lpar5b,6,14,6,30.0
LPAR6,lpar6a,1,11,12,8.33
LPAR6,lpar6b,1,13,10,7.14
LTB4R,ltb4r,2,17,9,10.53
LTB4R2,ltb4r2a,0,11,11,0.0
LTB4R2,ltb4r2b,1,11,10,8.33
MC1R,mc1r,1,11,13,8.33
MC2R,mc2r,12,5,7,70.59
MC3R,mc3r,18,3,2,85.71
MC4R,mc4r,18,1,3,94.74
MC5R,mc5ra,13,5,5,72.22
MC5R,mc5rb,12,5,6,70.59
MCHR1,mchr1a,0,15,13,0.0
MCHR1,mchr1b,0,10,18,0.0
MCHR2,mchr2a,1,12,10,7.69
MCHR2,mchr2b,1,7,15,12.5
MLNR,mlnr,14,5,5,73.68
MTNR1A,mtnr1aa,2,10,12,16.67
MTNR1A,mtnr1ab,20,2,2,90.91
MTNR1A,mtnr1al,1,3,20,25.0
MTNR1B,mtnr1ba,18,3,4,85.71
MTNR1B,mtnr1bb,18,2,5,90.0
NMUR1,nmur1a,0,8,13,0.0
NPBWR2,npbwr2a,0,6,16,0.0
NPBWR2,npbwr2b,19,2,1,90.48
NPFFR1,npffr1,1,7,19,12.5
NPFFR1,npffr1l1,17,5,5,77.27
NPFFR1,npffr1l2,24,3,0,88.89
NPFFR1,npffr1l3,22,3,2,88.0
NPFFR2,npffr2a,6,11,11,35.29
NPFFR2,npffr2b,5,12,11,29.41
NPY1R,npy1r,2,8,12,20.0
NPY2R,npy2r,1,9,11,10.0
NPY2R,npy2rl,0,12,9,0.0
NPY4R,npy4r,0,16,8,0.0
NTSR1,ntsr1,3,13,15,18.75
OPN1LW,opn1lw1,13,5,6,72.22
OPN1SW,opn1sw1,18,5,2,78.26
OPN3,opn3,16,7,5,69.57
OPN4,opn4a,4,10,11,28.57
OPN4,opn4b,1,9,15,10.0
OPN5,opn5,24,1,3,96.0
OPRD1,oprd1a,0,14,9,0.0
OPRD1,oprd1b,0,12,11,0.0
OPRK1,oprk1,1,11,12,8.33
OPRL1,oprl1,0,11,13,0.0
OPRM1,oprm1,19,1,2,95.0
OXGR1,oxgr1a.1,2,12,13,14.29
OXGR1,oxgr1a.2,2,17,8,10.53
OXGR1,oxgr1a.3,1,12,14,7.69
OXGR1,oxgr1b,1,11,15,8.33
OXTR,oxtra,5,12,9,29.41
OXTR,oxtrb,1,14,11,6.67
P2RY1,p2ry1,19,3,3,86.36
P2RY10,p2ry10,0,14,12,0.0
P2RY11,p2ry11,3,12,10,20.0
P2RY12,p2ry12,2,14,7,12.5
P2RY13,p2ry13,3,12,10,20.0
P2RY2,p2ry2.1,0,11,14,0.0
P2RY2,p2ry2.2,19,6,0,76.0
P2RY2,p2ry2.3,19,6,0,76.0
P2RY8,p2ry8,2,13,10,13.33
PITPNM3,pitpnm3,18,5,0,78.26
PROKR1,prokr1a,1,11,11,8.33
PROKR1,prokr1b,19,3,1,86.36
PTAFR,ptafr,3,9,15,25.0
PTGER1,ptger1a,0,14,7,0.0
PTGER1,ptger1b,2,7,12,22.22
PTGER1,ptger1c,2,8,11,20.0
PTGER2,ptger2a,2,8,10,20.0
PTGER2,ptger2b,0,12,8,0.0
PTGER3,ptger3,0,13,18,0.0
PTGER4,ptger4a,7,7,6,50.0
PTGER4,ptger4b,0,11,9,0.0
PTGER4,ptger4c,1,11,8,8.33
PTGFR,ptgfr,23,3,2,88.46
PTGIR,ptgir,0,18,7,0.0
PTH1R,pth1r,22,1,2,95.65
PTH2R,pth2ra,24,2,3,92.31
PTH2R,pth2rb,25,1,3,96.15
QRFPR,qrfpra,0,12,11,0.0
QRFPR,qrfprb,1,12,10,7.69
RGR,rgra,14,12,0,53.85
RGR,rgrb,11,12,3,47.83
RHO,rho,19,1,5,95.0
RRH,rrh,20,3,0,86.96
RXFP1,rxfp1,18,2,3,90.0
RXFP2,rxfp2a,20,0,6,100.0
RXFP2,rxfp2b,20,0,6,100.0
RXFP3,rxfp3,2,12,9,14.29
S1PR1,s1pr1,18,1,7,94.74
S1PR2,s1pr2,21,0,1,100.0
S1PR3,s1pr3a,15,4,4,78.95
S1PR4,s1pr4,12,5,2,70.59
S1PR5,s1pr5a,13,3,7,81.25
S1PR5,s1pr5b,15,4,4,78.95
SMO,smo,2,11,11,15.38
SSTR1,sstr1a,2,12,9,14.29
SSTR2,sstr2a,2,9,12,18.18
SSTR2,sstr2b,20,3,0,86.96
SSTR3,sstr3,2,11,12,15.38
SSTR5,sstr5,19,6,0,76.0
TAAR1,taar1b,2,14,14,12.5
TACR1,tacr1a,2,6,20,25.0
TACR1,tacr1b,3,14,11,17.65
TACR2,tacr2,6,8,10,42.86
TACR3,tacr3a,0,16,7,0.0
TACR3,tacr3l,16,1,6,94.12
TBXA2R,tbxa2r,5,11,16,31.25
TRHR,trhra,26,3,1,89.66
TRHR,trhrb,2,12,16,14.29
TSHR,tshr,1,13,8,7.14
VIPR1,vipr1a,20,4,2,83.33
VIPR1,vipr1b,15,6,5,71.43
VIPR2,vipr2,23,1,3,95.83
XCR1,xcr1a.1,2,12,12,14.29
XCR1,xcr1b.1,14,7,5,66.67
XCR1,xcr1b.2,15,7,4,68.18
