pocket_A	htr1ab	66.667	21	6	1	5	24	3	23	1.05e-04	25.0
pocket_A	htr1b	45.000	20	11	0	3	22	2	21	1.09e-04	25.0
pocket_A	drd1a	66.667	18	5	1	8	24	7	24	1.25e-04	25.0
pocket_A	adra2b	61.905	21	7	1	5	24	3	23	1.46e-04	24.6
pocket_A	drd4a	52.941	17	8	0	8	24	7	23	2.68e-04	24.3
pocket_A	drd2b	52.174	23	10	1	3	24	2	24	0.001	22.3
pocket_A	gpr6	64.286	14	5	0	11	24	10	23	0.003	21.2
pocket_A	chrm5a	52.941	17	8	0	8	24	5	21	0.003	21.2
pocket_A	chrm3b	52.941	17	8	0	8	24	6	22	0.003	21.2
pocket_A	htr6	50.000	22	9	1	5	24	3	24	0.005	20.8
