human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,12,2,3,85.71
ACKR3,ackr3b,11,4,2,73.33
ACKR4,ackr4b,14,4,1,77.78
ADCYAP1R1,adcyap1r1a,0,6,10,0.0
ADGRA1,adgra1a,20,1,3,95.24
ADGRA2,adgra2,0,8,13,0.0
ADGRA3,adgra3,21,2,2,91.3
ADGRB1,adgrb1a,23,2,3,92.0
ADGRB1,adgrb1b,23,1,4,95.83
ADGRB2,adgrb2,20,2,5,90.91
ADGRB3,adgrb3,17,2,4,89.47
ADGRD1,adgrd1,0,7,8,0.0
ADGRD2,adgrd2,9,2,2,81.82
ADGRE5,adgre5a,0,1,15,0.0
ADGRE5,adgre5b.2,11,3,2,78.57
ADGRE5,adgre5b.3,10,2,4,83.33
ADGRF3,adgrf3a,8,5,3,61.54
ADGRF3,adgrf3b,9,6,1,60.0
ADGRG1,adgrg1,1,3,13,25.0
ADGRG2,adgrg2a,12,0,3,100.0
ADGRG6,adgrg6,12,1,2,92.31
ADGRG7,adgrg7.2,1,5,10,16.67
ADGRL1,adgrl1a,18,0,1,100.0
ADGRL2,adgrl2a,16,0,1,100.0
ADGRL2,adgrl2b.1,0,0,17,0.0
ADGRL3,adgrl3.1,16,0,1,100.0
ADGRL4,adgrl4,16,1,0,94.12
ADORA1,adora1b,19,0,0,100.0
ADORA2A,adora2aa,21,1,2,95.45
ADORA2A,adora2ab,21,1,2,95.45
ADORA2B,adora2b,21,0,2,100.0
ADRA1A,adra1aa,13,1,2,92.86
ADRA1A,adra1ab,14,1,1,93.33
ADRA1B,adra1ba,15,2,3,88.24
ADRA1B,adra1bb,15,1,4,93.75
ADRA1D,adra1d,15,1,0,93.75
ADRA2A,adra2a,13,4,9,76.47
ADRA2B,adra2b,19,0,0,100.0
ADRA2C,adra2c,1,10,17,9.09
ADRB1,adrb1,9,3,6,75.0
ADRB2,adrb2a,14,0,6,100.0
ADRB2,adrb2b,9,1,10,90.0
ADRB3,adrb3a,13,2,7,86.67
ADRB3,adrb3b,16,4,2,80.0
AGTR1,agtr1a,9,8,4,52.94
AGTR1,agtr1b,11,5,5,68.75
AGTR2,agtr2,14,4,3,77.78
APLNR,aplnra,14,5,3,73.68
APLNR,aplnrb,14,5,3,73.68
AVPR1A,avpr1aa,16,1,3,94.12
AVPR1A,avpr1ab,18,1,1,94.74
AVPR2,avpr2aa,11,4,5,73.33
AVPR2,avpr2ab,11,5,4,68.75
BDKRB1,bdkrb1,12,5,3,70.59
C5AR1,c5ar1,7,11,1,38.89
CALCR,calcr,6,3,3,66.67
CALCRL,calcrla,8,4,1,66.67
CALCRL,calcrlb,7,4,2,63.64
CASR,casr,20,2,0,90.91
CCKAR,cckar,14,6,0,70.0
CCKBR,cckbra,12,5,1,70.59
CCR10,ccr10,4,10,4,28.57
CCR2,ccr2,8,9,5,47.06
CCR6,ccr6a,7,10,5,41.18
