human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,0,5,25,0.0
ACKR3,ackr3b,5,2,23,71.43
ACKR4,ackr4b,1,3,30,25.0
ADCYAP1R1,adcyap1r1a,0,1,26,0.0
ADGRA1,adgra1a,0,3,19,0.0
ADGRA2,adgra2,0,1,10,0.0
ADGRA3,adgra3,0,2,8,0.0
ADGRB1,adgrb1a,18,2,1,90.0
ADGRB1,adgrb1b,18,3,0,85.71
ADGRB2,adgrb2,0,5,16,0.0
ADGRB3,adgrb3,1,7,15,12.5
ADGRD1,adgrd1,0,1,14,0.0
ADGRD2,adgrd2,2,1,8,66.67
ADGRE5,adgre5a,0,0,18,0.0
ADGRE5,adgre5b.2,3,4,11,42.86
ADGRE5,adgre5b.3,5,1,12,83.33
ADGRF3,adgrf3a,0,5,10,0.0
ADGRF3,adgrf3b,0,0,15,0.0
ADGRG1,adgrg1,0,1,15,0.0
ADGRG2,adgrg2a,3,1,4,75.0
ADGRG6,adgrg6,0,0,9,0.0
ADGRG7,adgrg7.2,0,0,17,0.0
ADGRL1,adgrl1a,0,2,13,0.0
ADGRL2,adgrl2a,0,1,15,0.0
ADGRL2,adgrl2b.1,0,0,16,0.0
ADGRL3,adgrl3.1,0,0,10,0.0
ADGRL4,adgrl4,0,0,12,0.0
ADORA1,adora1b,9,1,9,90.0
ADORA2A,adora2aa,16,2,5,88.89
ADORA2A,adora2ab,1,1,21,50.0
ADORA2B,adora2b,14,2,7,87.5
ADRA1A,adra1aa,0,2,16,0.0
ADRA1A,adra1ab,0,4,14,0.0
ADRA1B,adra1ba,15,3,3,83.33
ADRA1B,adra1bb,0,4,17,0.0
ADRA1D,adra1d,0,3,15,0.0
ADRA2A,adra2a,0,6,23,0.0
ADRA2B,adra2b,0,0,17,0.0
ADRA2C,adra2c,0,2,17,0.0
ADRB1,adrb1,0,4,17,0.0
ADRB2,adrb2a,11,9,5,55.0
ADRB2,adrb2b,2,2,21,50.0
ADRB3,adrb3a,8,0,13,100.0
ADRB3,adrb3b,1,2,18,33.33
AGTR1,agtr1a,0,1,16,0.0
AGTR1,agtr1b,1,1,15,50.0
AGTR2,agtr2,0,5,14,0.0
APLNR,aplnra,0,3,14,0.0
APLNR,aplnrb,5,4,8,55.56
AVPR1A,avpr1aa,0,4,20,0.0
AVPR1A,avpr1ab,0,0,24,0.0
AVPR2,avpr2aa,4,2,13,66.67
AVPR2,avpr2ab,2,2,15,50.0
BDKRB1,bdkrb1,0,5,15,0.0
C5AR1,c5ar1,1,4,16,20.0
CALCR,calcr,0,1,21,0.0
CALCRL,calcrla,0,1,6,0.0
CALCRL,calcrlb,0,0,7,0.0
CASR,casr,0,7,27,0.0
CCKAR,cckar,1,3,18,25.0
CCKBR,cckbra,1,1,23,50.0
CCR10,ccr10,0,1,17,0.0
CCR2,ccr2,0,1,23,0.0
CCR6,ccr6a,0,2,20,0.0
CCR6,ccr6b,0,3,19,0.0
CCR7,ccr7,0,2,16,0.0
CCR8,ccr8.1,1,2,21,33.33
CCR9,ccr9a,0,3,11,0.0
CCR9,ccr9b,0,3,11,0.0
CELSR1,celsr1a,0,0,9,0.0
CELSR1,celsr1b,0,0,9,0.0
CELSR3,celsr3,0,2,6,0.0
CHRM1,chrm1a,15,3,1,83.33
CHRM2,chrm2a,2,0,24,100.0
CHRM2,chrm2b,4,1,21,80.0
CHRM3,chrm3a,13,6,5,68.42
CHRM3,chrm3b,6,5,13,54.55
CHRM4,chrm4a,1,5,21,16.67
CHRM4,chrm4b,0,5,22,0.0
CHRM5,chrm5a,11,3,5,78.57
CHRM5,chrm5b,11,5,3,68.75
CMKLR1,cmklr1,0,3,24,0.0
CMKLR2,cmklr2,0,4,24,0.0
CNR1,cnr1,0,3,28,0.0
CNR2,cnr2,20,2,2,90.91
CRHR1,crhr1,0,5,25,0.0
CRHR2,crhr2,0,0,9,0.0
CXCR1,cxcr1,1,1,30,50.0
CXCR2,cxcr2,0,1,16,0.0
CXCR3,cxcr3.1,1,3,30,25.0
CXCR3,cxcr3.2,1,8,25,11.11
CXCR4,cxcr4a,0,2,16,0.0
CXCR4,cxcr4b,0,3,15,0.0
CXCR5,cxcr5,0,1,15,0.0
CYSLTR1,cysltr1,1,3,24,25.0
DRD1,drd1a,0,2,17,0.0
DRD1,drd1b,0,3,16,0.0
DRD2,drd2a,11,2,1,84.62
DRD2,drd2b,0,1,13,0.0
DRD3,drd3,0,2,24,0.0
DRD4,drd4a,0,5,19,0.0
DRD4,drd4b,0,3,21,0.0
EDNRA,ednraa,11,0,4,100.0
EDNRA,ednrab,10,0,5,100.0
EDNRB,ednrba,15,2,2,88.24
EDNRB,ednrbb,9,1,9,90.0
F2R,f2r,0,5,24,0.0
F2RL1,f2rl1.1,0,3,21,0.0
F2RL1,f2rl1.2,0,3,21,0.0
F2RL2,f2rl2,0,5,22,0.0
FPR1,fpr1,2,2,22,50.0
FSHR,fshr,0,2,13,0.0
FZD1,fzd1,20,2,4,90.91
FZD10,fzd10,25,1,1,96.15
FZD2,fzd2,21,2,1,91.3
FZD3,fzd3a,19,3,1,86.36
FZD3,fzd3b,20,2,1,90.91
FZD4,fzd4,22,5,4,81.48
FZD5,fzd5,23,2,2,92.0
FZD6,fzd6,20,2,4,90.91
FZD7,fzd7a,19,3,4,86.36
FZD7,fzd7b,20,2,4,90.91
FZD8,fzd8a,23,3,1,88.46
FZD8,fzd8b,21,5,1,80.77
FZD9,fzd9a,21,4,3,84.0
FZD9,fzd9b,22,1,5,95.65
GABBR1,gabbr1a,0,7,20,0.0
GABBR1,gabbr1b,0,0,27,0.0
GABBR2,gabbr2,1,2,14,33.33
GALR1,galr1a,14,1,3,93.33
GALR1,galr1b,10,2,6,83.33
GALR2,galr2a,13,1,4,92.86
GALR2,galr2b,11,5,2,68.75
GCGR,gcgra,0,9,16,0.0
GCGR,gcgrb,0,1,24,0.0
GHRHR,ghrhra,0,1,17,0.0
GHRHR,ghrhrb,0,1,17,0.0
GHSR,ghsra,0,2,30,0.0
GHSR,ghsrb,0,4,28,0.0
GIPR,gipr,1,2,22,33.33
GPBAR1,gpbar1,1,1,23,50.0
GPER1,gper1,0,1,21,0.0
GPR101,gpr101,3,9,9,25.0
GPR12,gpr12,16,1,10,94.12
GPR132,gpr132a,0,3,27,0.0
GPR132,gpr132b,3,4,23,42.86
GPR135,gpr135,0,4,15,0.0
GPR139,gpr139,1,3,17,25.0
GPR142,gpr142,0,2,20,0.0
GPR146,gpr146,3,3,12,50.0
GPR151,gpr151,1,2,26,33.33
GPR153,gpr153,14,3,8,82.35
GPR156,gpr156,0,2,27,0.0
GPR158,gpr158a,1,2,24,33.33
GPR158,gpr158b,7,1,19,87.5
GPR160,gpr160,0,3,7,0.0
GPR161,gpr161b,0,0,15,0.0
GPR17,gpr17,0,4,27,0.0
GPR171,gpr171,10,6,10,62.5
GPR173,gpr173,1,4,20,20.0
GPR174,gpr174,1,1,34,50.0
GPR176,gpr176,0,3,17,0.0
GPR18,gpr18,9,2,19,81.82
GPR183,gpr183a,0,3,22,0.0
GPR183,gpr183b,0,2,23,0.0
GPR19,gpr19,2,2,30,50.0
GPR20,gpr20,0,3,21,0.0
GPR22,gpr22a,0,5,25,0.0
GPR22,gpr22b,24,2,4,92.31
