human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method,,,n = 318
C5AR1,c5ar1,6,4,16,60,Class_B1,super,,,
GPR161,gpr161b,6,1,20,85.71,Class_B1,align,,,
OXGR1,oxgr1b,6,1,13,85.71,Class_A,align,,,
MTNR1A,mtnr1aa,6,0,15,100,Class_C,super,,,
GPBAR1,gpbar1,7,4,7,63.64,Class_A,super,,,
CXCR3,cxcr3.1,7,2,4,77.78,Class_A,super,,,
GPR55,gpr55a,8,5,7,61.54,Class_A (4S0V),super,,,
GPR65,gpr65,8,4,8,66.67,Class_C,super,,,
CXCR2,cxcr2,8,3,8,72.73,Class_C,super,,,
SSTR3,sstr3,8,1,17,88.89,Class_B1,align,,,
ADRA2A,adra2a,8,0,18,100,Class_A (4S0V),super,,,
ADRB2,adrb2a,8,0,12,100,Class_A (4S0V),super,,,
GIPR,gipr,8,0,3,100,Class_A,super,,,
HTR1B,htr1b,8,0,10,100,Class_C,super,,,
MTNR1A,mtnr1al,8,0,11,100,Class_A,super,,,
PTH2R,pth2ra,8,0,11,100,Class_A (4S0V),super,,,
GPR176,gpr176,9,4,7,69.23,Class_A (4S0V),super,,,
ADGRE5,adgre5b.2,9,3,6,75,Class_A,super,,,
AVPR2,avpr2ab,9,3,8,75,Class_A (4S0V),super,,,
MLNR,mlnr,9,3,12,75,Class_B1,super,,,
GPR142,gpr142,9,2,2,81.82,Class_A,super,,,
MC1R,mc1r,9,1,7,90,Class_A,super,,,
CCR6,ccr6b,10,5,9,66.67,Class_B1,super,,,
P2RY11,p2ry11,10,5,1,66.67,Class_A,align,,,
AGTR1,agtr1b,10,4,4,71.43,Class_A,align,,,
CMKLR2,cmklr2,10,4,6,71.43,Class_A (4S0V),super,,,
GPR20,gpr20,10,4,4,71.43,Class_A,align,,,
AVPR2,avpr2aa,10,3,7,76.92,Class_A (4S0V),super,,,
ADGRE5,adgre5b.3,10,2,4,83.33,Class_A (4S0V),super,,,
PTGIR,ptgir,10,2,9,83.33,Class_A (4S0V),super,,,
TACR3,tacr3l,10,1,12,90.91,Class_B1,super,,,
ACKR3,ackr3b,11,4,2,73.33,Class_A (4S0V),super,,,
MC2R,mc2r,11,4,9,73.33,Class_B1,super,,,
OPRL1,oprl1,11,4,1,73.33,Class_A (4S0V),super,,,
QRFPR,qrfpra,11,4,5,73.33,Class_A (4S0V),super,,,
GPR37L1,gpr37l1a,11,3,2,78.57,Class_A,align,,,
GALR1,galr1b,11,2,5,84.62,Class_F,super,,,
GPR132,gpr132a,11,2,5,84.62,Class_A,super,,,
CHRM3,chrm3b,11,1,9,91.67,Class_A (4S0V),super,,,
