human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method
ACKR3,ackr3a,14,2,1,87.5,Class_A (4S0V),align
ACKR3,ackr3b,11,2,4,84.62,Class_A (4S0V),align
ACKR4,ackr4b,14,3,2,82.35,Class_A (4S0V),align
ADCYAP1R1,adcyap1r1a,27,0,1,100.0,Class_B1,align
ADGRA1,adgra1a,20,1,3,95.24,Class_A (4S0V),super
ADGRA2,adgra2,1,0,17,100.0,Class_A,align
ADGRA3,adgra3,14,1,2,93.33,Class_A,super
ADGRB1,adgrb1a,26,0,1,100.0,Class_B1,super
ADGRB1,adgrb1b,24,0,1,100.0,Class_B1,align
ADGRB1,adgrb1b,25,0,2,100.0,Class_B1,super
ADGRB2,adgrb2,13,0,2,100.0,Class_C,super
ADGRB3,adgrb3,23,0,2,100.0,Class_B1,align
ADGRB3,adgrb3,15,0,5,100.0,Class_F,align
ADGRD1,adgrd1,12,5,11,70.59,Class_B1,align
ADGRD2,adgrd2,19,3,1,86.36,Class_B1,align
ADGRD2,adgrd2,19,3,2,86.36,Class_B1,super
ADGRE5,adgre5a,1,3,22,25.0,Class_B1,align
ADGRE5,adgre5a,1,3,14,25.0,Class_A,super
ADGRE5,adgre5b.2,11,3,2,78.57,Class_A (4S0V),super
ADGRE5,adgre5b.3,10,2,4,83.33,Class_A (4S0V),super
ADGRF3,adgrf3a,1,0,0,100.0,Class_A,align
ADGRF3,adgrf3b,1,0,0,100.0,Class_A,align
ADGRG1,adgrg1,10,15,3,40.0,Class_B1,align
ADGRG2,adgrg2a,12,0,3,100.0,Class_A (4S0V),super
ADGRG4,adgrg4a,0,6,18,0.0,Class_A (4S0V),align
ADGRG4,adgrg4b,0,11,13,0.0,Class_A (4S0V),align
ADGRG6,adgrg6,12,1,2,92.31,Class_A (4S0V),super
ADGRG7,adgrg7.2,7,3,17,70.0,Class_B1,super
ADGRL1,adgrl1a,15,0,2,100.0,Class_A,align
ADGRL1,adgrl1a,18,0,1,100.0,Class_A (4S0V),super
ADGRL1,adgrl1a,17,0,2,100.0,Class_A,super
ADGRL2,adgrl2a,11,0,6,100.0,Class_A,align
ADGRL2,adgrl2a,16,0,1,100.0,Class_A (4S0V),super
ADGRL2,adgrl2a,16,0,1,100.0,Class_A,super
ADGRL2,adgrl2b.1,1,2,22,33.33,Class_B1,super
ADGRL4,adgrl4,16,1,0,94.12,Class_A (4S0V),super
ADGRL4,adgrl4,16,1,1,94.12,Class_A,super
ADORA1,adora1b,20,0,2,100.0,Class_A (4S0V),align
ADORA1,adora1b,19,0,0,100.0,Class_A,align
ADORA1,adora1b,19,0,0,100.0,Class_A (4S0V),super
ADORA1,adora1b,17,0,2,100.0,Class_A,super
ADORA2A,adora2aa,21,1,2,95.45,Class_A (4S0V),super
ADORA2A,adora2ab,21,1,2,95.45,Class_A (4S0V),super
ADORA2B,adora2b,24,0,1,100.0,Class_A (4S0V),align
