human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,0,12,16,0.0
ACKR3,ackr3b,2,7,19,22.22
ACKR4,ackr4b,1,6,21,14.29
ADCYAP1R1,adcyap1r1a,27,0,1,100.0
ADGRA1,adgra1a,5,8,12,38.46
ADGRA2,adgra2,13,9,0,59.09
ADGRA3,adgra3,1,9,18,10.0
ADGRB1,adgrb1a,2,9,14,18.18
ADGRB1,adgrb1b,24,0,1,100.0
ADGRB2,adgrb2,22,2,1,91.67
ADGRB3,adgrb3,23,0,2,100.0
ADGRD1,adgrd1,12,2,14,85.71
ADGRD2,adgrd2,18,3,2,85.71
ADGRE5,adgre5a,0,1,25,0.0
ADGRE5,adgre5b.2,14,10,2,58.33
ADGRE5,adgre5b.3,9,8,9,52.94
ADGRF3,adgrf3a,10,6,8,62.5
ADGRF3,adgrf3b,10,7,7,58.82
ADGRG1,adgrg1,9,13,6,40.91
ADGRG2,adgrg2a,13,3,11,81.25
ADGRG6,adgrg6,3,10,13,23.08
ADGRG7,adgrg7.2,5,5,14,50.0
ADGRL1,adgrl1a,19,2,1,90.48
ADGRL2,adgrl2a,18,2,0,90.0
ADGRL2,adgrl2b.1,0,5,15,0.0
ADGRL3,adgrl3.1,19,1,4,95.0
ADGRL4,adgrl4,20,2,3,90.91
ADORA1,adora1b,2,6,20,25.0
ADORA2A,adora2aa,0,5,20,0.0
ADORA2A,adora2ab,2,6,17,25.0
ADORA2B,adora2b,3,6,19,33.33
ADRA1A,adra1aa,2,3,19,40.0
ADRA1A,adra1ab,3,4,17,42.86
ADRA1B,adra1ba,2,6,18,25.0
ADRA1B,adra1bb,0,9,17,0.0
ADRA1D,adra1d,1,7,16,12.5
ADRA2A,adra2a,1,4,18,20.0
ADRA2B,adra2b,2,6,18,25.0
ADRA2C,adra2c,10,3,9,76.92
ADRB1,adrb1,15,1,11,93.75
ADRB2,adrb2a,0,11,12,0.0
ADRB2,adrb2b,0,13,10,0.0
ADRB3,adrb3a,19,3,5,86.36
ADRB3,adrb3b,9,5,13,64.29
AGTR1,agtr1a,0,5,16,0.0
AGTR1,agtr1b,0,6,15,0.0
AGTR2,agtr2,1,8,17,11.11
APLNR,aplnra,0,9,18,0.0
APLNR,aplnrb,0,8,19,0.0
AVPR1A,avpr1aa,7,6,12,53.85
AVPR1A,avpr1ab,0,7,18,0.0
AVPR2,avpr2aa,2,3,14,40.0
AVPR2,avpr2ab,0,7,12,0.0
BDKRB1,bdkrb1,0,4,19,0.0
C5AR1,c5ar1,1,8,15,11.11
CALCR,calcr,22,2,1,91.67
CALCRL,calcrla,21,3,0,87.5
CALCRL,calcrlb,20,3,1,86.96
CASR,casr,2,4,15,33.33
CCKAR,cckar,0,7,14,0.0
CCKBR,cckbra,1,6,18,14.29
CCR10,ccr10,4,2,19,66.67
CCR2,ccr2,3,4,18,42.86
CCR6,ccr6a,0,8,16,0.0
CCR6,ccr6b,7,6,11,53.85
CCR7,ccr7,17,4,4,80.95
CCR8,ccr8.1,7,7,9,50.0
CCR9,ccr9a,2,3,21,40.0
CCR9,ccr9b,1,7,18,12.5
CELSR1,celsr1a,0,0,1,0.0
CELSR1,celsr1b,0,0,1,0.0
CELSR3,celsr3,0,0,0,0.0
CHRM1,chrm1a,0,4,16,0.0
CHRM2,chrm2a,2,6,13,25.0
CHRM2,chrm2b,5,4,12,55.56
CHRM3,chrm3a,1,6,19,14.29
