human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,14,2,1,87.5
ACKR3,ackr3b,11,2,4,84.62
ACKR4,ackr4b,14,3,2,82.35
ADCYAP1R1,adcyap1r1a,0,0,10,0.0
ADGRA1,adgra1a,1,11,14,8.33
ADGRA2,adgra2,0,4,12,0.0
ADGRA3,adgra3,16,2,5,88.89
ADGRB1,adgrb1a,17,6,6,73.91
ADGRB1,adgrb1b,20,2,7,90.91
ADGRB2,adgrb2,9,8,10,52.94
ADGRB3,adgrb3,0,8,4,0.0
ADGRD1,adgrd1,0,3,23,0.0
ADGRD2,adgrd2,1,10,11,9.09
ADGRE5,adgre5a,0,0,21,0.0
ADGRE5,adgre5b.2,1,8,12,11.11
ADGRE5,adgre5b.3,3,5,13,37.5
ADGRF3,adgrf3a,2,7,12,22.22
ADGRF3,adgrf3b,2,7,12,22.22
ADGRG1,adgrg1,1,6,15,14.29
ADGRG2,adgrg2a,0,7,16,0.0
ADGRG4,adgrg4a,0,6,18,0.0
ADGRG4,adgrg4b,0,11,13,0.0
ADGRG6,adgrg6,2,3,11,40.0
ADGRG7,adgrg7.2,1,9,11,10.0
ADGRL1,adgrl1a,0,9,8,0.0
ADGRL2,adgrl2a,0,5,8,0.0
ADGRL2,adgrl2b.1,0,0,13,0.0
ADGRL4,adgrl4,11,3,8,78.57
ADORA1,adora1b,20,0,2,100.0
ADORA2A,adora2aa,22,2,0,91.67
ADORA2A,adora2ab,3,8,13,27.27
ADORA2B,adora2b,24,0,1,100.0
ADRA1A,adra1aa,19,2,0,90.48
ADRA1A,adra1ab,16,4,1,80.0
ADRA1B,adra1ba,17,3,1,85.0
ADRA1B,adra1bb,16,4,1,80.0
ADRA1D,adra1d,18,1,2,94.74
ADRA2A,adra2a,20,1,2,95.24
ADRA2B,adra2b,20,1,0,95.24
ADRA2C,adra2c,19,2,0,90.48
ADRB1,adrb1,18,2,0,90.0
ADRB2,adrb2a,17,2,1,89.47
ADRB2,adrb2b,18,2,0,90.0
ADRB3,adrb3a,16,4,0,80.0
ADRB3,adrb3b,16,4,0,80.0
AGTR1,agtr1a,10,7,2,58.82
AGTR1,agtr1b,11,5,3,68.75
AGTR2,agtr2,14,4,2,77.78
APLNR,aplnra,14,5,2,73.68
APLNR,aplnrb,13,5,3,72.22
AVPR1A,avpr1aa,17,1,1,94.44
AVPR1A,avpr1ab,17,1,1,94.44
AVPR2,avpr2aa,12,5,3,70.59
AVPR2,avpr2ab,12,5,3,70.59
BDKRB1,bdkrb1,13,6,2,68.42
C5AR1,c5ar1,8,10,1,44.44
CALCR,calcr,2,13,12,13.33
CALCRL,calcrla,1,10,15,9.09
CALCRL,calcrlb,2,11,13,15.38
CASR,casr,0,3,0,0.0
CCKAR,cckar,14,6,0,70.0
CCKBR,cckbra,12,5,2,70.59
CCR10,ccr10,4,8,5,33.33
CCR2,ccr2,7,9,6,43.75
CCR6,ccr6a,7,9,4,43.75
CCR6,ccr6b,6,9,5,40.0
CCR7,ccr7,11,7,3,61.11
CCR8,ccr8.1,8,7,6,53.33
CCR9,ccr9a,13,3,3,81.25
CCR9,ccr9b,12,5,2,70.59
CELSR1,celsr1a,3,11,10,21.43
CELSR1,celsr1b,0,12,12,0.0
CELSR3,celsr3,0,0,1,0.0
CHRM1,chrm1a,17,1,1,94.44
CHRM2,chrm2a,19,0,2,100.0
CHRM2,chrm2b,18,0,3,100.0
CHRM3,chrm3a,20,2,0,90.91
CHRM3,chrm3b,16,3,3,84.21
CHRM4,chrm4a,18,1,1,94.74
CHRM4,chrm4b,18,1,1,94.74
CHRM5,chrm5a,18,1,1,94.74
CHRM5,chrm5b,18,1,1,94.74
CMKLR1,cmklr1,12,7,3,63.16
CMKLR2,cmklr2,12,5,1,70.59
CNR1,cnr1,21,1,2,95.45
CNR2,cnr2,17,3,2,85.0
CRHR1,crhr1,13,0,5,100.0
CXCR1,cxcr1,9,8,3,52.94
CXCR2,cxcr2,12,8,0,60.0
CXCR3,cxcr3.1,12,6,1,66.67
CXCR3,cxcr3.2,8,10,1,44.44
CXCR4,cxcr4a,16,1,3,94.12
CXCR4,cxcr4b,14,3,3,82.35
CXCR5,cxcr5,7,10,4,41.18
CYSLTR1,cysltr1,15,1,2,93.75
DRD1,drd1a,19,1,0,95.0
DRD1,drd1b,19,1,0,95.0
DRD2,drd2a,20,0,1,100.0
DRD2,drd2b,20,0,1,100.0
DRD3,drd3,18,1,1,94.74
DRD4,drd4a,19,2,0,90.48
DRD4,drd4b,19,2,0,90.48
EDNRA,ednraa,21,1,0,95.45
EDNRA,ednrab,18,1,3,94.74
EDNRB,ednrba,22,0,1,100.0
EDNRB,ednrbb,19,3,1,86.36
F2R,f2r,18,2,3,90.0
F2RL1,f2rl1.1,17,3,1,85.0
F2RL1,f2rl1.2,17,3,1,85.0
F2RL2,f2rl2,12,7,2,63.16
FPR1,fpr1,5,10,3,33.33
FSHR,fshr,5,7,10,41.67
FZD1,fzd1,5,12,10,29.41
FZD10,fzd10,1,13,11,7.14
FZD2,fzd2,6,11,6,35.29
FZD3,fzd3a,25,0,1,100.0
FZD3,fzd3b,1,10,15,9.09
FZD4,fzd4,0,12,13,0.0
FZD5,fzd5,2,11,15,15.38
FZD6,fzd6,2,10,15,16.67
FZD7,fzd7a,0,18,7,0.0
FZD7,fzd7b,0,12,13,0.0
FZD8,fzd8a,2,16,12,11.11
FZD8,fzd8b,1,13,16,7.14
FZD9,fzd9a,2,10,12,16.67
FZD9,fzd9b,0,12,12,0.0
GABBR1,gabbr1a,0,6,11,0.0
GABBR1,gabbr1b,0,3,14,0.0
GABBR2,gabbr2,0,6,12,0.0
GALR1,galr1a,20,0,0,100.0
GALR1,galr1b,13,4,3,76.47
GALR2,galr2a,19,3,1,86.36
GALR2,galr2b,20,3,0,86.96
GCGR,gcgra,0,3,10,0.0
GCGR,gcgrb,0,2,11,0.0
GHRHR,ghrhra,0,5,12,0.0
GHRHR,ghrhrb,0,4,13,0.0
GHSR,ghsra,15,0,4,100.0
GHSR,ghsrb,17,0,2,100.0
GIPR,gipr,3,5,11,37.5
GPBAR1,gpbar1,6,5,9,54.55
GPER1,gper1,7,3,8,70.0
GPR101,gpr101,10,10,1,50.0
GPR12,gpr12,15,4,3,78.95
GPR132,gpr132a,11,3,6,78.57
GPR132,gpr132b,12,3,5,80.0
GPR135,gpr135,5,8,7,38.46
GPR139,gpr139,17,0,3,100.0
GPR142,gpr142,10,3,1,76.92
GPR146,gpr146,13,4,1,76.47
GPR151,gpr151,13,6,5,68.42
GPR153,gpr153,7,3,12,70.0
GPR156,gpr156,1,5,8,16.67
GPR158,gpr158a,2,7,15,22.22
GPR158,gpr158b,2,8,14,20.0
GPR160,gpr160,2,12,13,14.29
GPR161,gpr161b,12,7,7,63.16
GPR17,gpr17,18,2,2,90.0
GPR171,gpr171,14,5,1,73.68
GPR173,gpr173,23,0,2,100.0
GPR174,gpr174,17,1,4,94.44
GPR176,gpr176,10,5,1,66.67
GPR18,gpr18,16,4,6,80.0
GPR183,gpr183a,14,4,3,77.78
GPR183,gpr183b,15,2,4,88.24
GPR19,gpr19,12,10,1,54.55
GPR20,gpr20,13,5,3,72.22
GPR22,gpr22a,21,2,1,91.3
GPR22,gpr22b,21,1,2,95.45
GPR25,gpr25,12,2,6,85.71
GPR26,gpr26,18,5,2,78.26
GPR27,gpr27,11,5,3,68.75
GPR3,gpr3,9,8,7,52.94
GPR34,gpr34a,16,2,3,88.89
GPR34,gpr34b,17,1,3,94.44
GPR35,gpr35.1,6,5,7,54.55
GPR37,gpr37a,16,1,0,94.12
GPR37,gpr37b,16,0,1,100.0
GPR37L1,gpr37l1a,14,4,1,77.78
GPR37L1,gpr37l1b,16,1,2,94.12
GPR39,gpr39,14,6,1,70.0
GPR4,gpr4,21,0,0,100.0
GPR45,gpr45,18,3,1,85.71
GPR52,gpr52,22,1,2,95.65
GPR55,gpr55a,7,7,6,50.0
GPR6,gpr6,15,3,3,83.33
GPR61,gpr61,18,3,1,85.71
GPR63,gpr63,22,1,2,95.65
GPR65,gpr65,9,9,5,50.0
GPR75,gpr75,1,9,15,10.0
GPR78,gpr78a,15,10,1,60.0
GPR78,gpr78b,14,8,4,63.64
GPR84,gpr84,17,1,8,94.44
GPR85,gpr85,2,12,8,14.29
GPRC5B,gprc5ba,1,8,18,11.11
GPRC5B,gprc5bb,0,9,18,0.0
GPRC5C,gprc5c,0,0,0,0.0
GPRC6A,gprc6a,0,12,12,0.0
GRM1,grm1a,0,14,13,0.0
GRM1,grm1b,0,16,11,0.0
GRM2,grm2a,2,11,15,15.38
GRM2,grm2b,1,13,14,7.14
GRM3,grm3,0,11,14,0.0
GRM4,grm4,4,5,8,44.44
GRM5,grm5a,0,0,24,0.0
GRM5,grm5b,1,10,13,9.09
GRM6,grm6a,0,5,13,0.0
GRM6,grm6b,0,12,6,0.0
GRM8,grm8a,0,6,23,0.0
