human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method,,n =290
GPBAR1,gpbar1,6,3,9,66.67,Class_A,super,,
GPR65,gpr65,6,3,11,66.67,Class_C,super,,
GPR176,gpr176,6,1,18,85.71,Class_B1,super,,
GPR39,gpr39,6,0,12,100,Class_C,super,,
S1PR5,s1pr5a,6,0,26,100,Class_F,super,,
VIPR2,vipr2,6,0,3,100,Class_A,super,,
GPR142,gpr142,7,1,6,87.5,Class_A (4S0V),align,,
GPR158,gpr158b,7,1,19,87.5,Class_F,super,,
GPR37L1,gpr37l1b,7,0,11,100,Class_C,super,,
HTR6,htr6,7,0,19,100,Class_B1,align,,
MTNR1A,mtnr1al,7,0,12,100,Class_A,super,,
SSTR3,sstr3,7,0,19,100,Class_B1,align,,
GPR135,gpr135,8,5,8,61.54,Class_A,align,,
PTGER2,ptger2a,8,5,5,61.54,Class_A,super,,
ADGRE5,adgre5b.2,8,3,7,72.73,Class_A,super,,
AGTR1,agtr1a,8,2,11,80,Class_A (4S0V),super,,
CMKLR2,cmklr2,8,2,10,80,Class_A (4S0V),super,,
XCR1,xcr1b.1,8,2,16,80,Class_B1,super,,
ADGRA3,adgra3,8,0,15,100,Class_A (4S0V),align,,
ADRB3,adrb3a,8,0,13,100,Class_F,super,,
EDNRB,ednrbb,8,0,10,100,Class_C,super,,
GIPR,gipr,8,0,3,100,Class_A,super,,
OXGR1,oxgr1a.1,8,0,13,100,Class_C,super,,
XCR1,xcr1b.2,9,4,7,69.23,Class_A,align,,
ADGRD1,adgrd1,9,1,18,90,Class_B1,align,,
GPER1,gper1,9,1,8,90,Class_A,align,,
OPRK1,oprk1,9,0,13,100,Class_C,super,,
PTGFR,ptgfr,9,0,17,100,Class_A (4S0V),super,,
P2RY11,p2ry11,10,5,4,66.67,Class_A,super,,
AGTR1,agtr1b,10,4,4,71.43,Class_A,align,,
HRH2,hrh2b,10,3,10,76.92,Class_F,super,,
ACKR4,ackr4b,10,2,2,83.33,Class_A,align,,
AVPR2,avpr2aa,10,2,8,83.33,Class_A (4S0V),super,,
CCR7,ccr7,10,2,8,83.33,Class_C,align,,
CCR8,ccr8.1,10,2,10,83.33,Class_C,super,,
GALR1,galr1b,10,2,6,83.33,Class_F,super,,
GPR37L1,gpr37l1a,10,2,4,83.33,Class_A,align,,
MC2R,mc2r,10,2,12,83.33,Class_B1,super,,
GPR132,gpr132a,10,1,7,90.91,Class_A,super,,
EDNRA,ednrab,10,0,5,100,Class_F,super,,
PROKR1,prokr1b,10,0,14,100,Class_C,super,,
GPR35,gpr35.1,11,6,10,64.71,Class_B1,super,,
OPRL1,oprl1,11,4,1,73.33,Class_A (4S0V),super,,
OXGR1,oxgr1a.3,11,4,5,73.33,Class_A,super,,
GPRC5B,gprc5bb,11,3,7,78.57,Class_C,super,,
QRFPR,qrfpra,11,3,6,78.57,Class_A (4S0V),super,align and super equal,
ACKR3,ackr3b,11,2,4,84.62,Class_A (4S0V),super,align and super equal,
CCKBR,cckbra,11,2,7,84.62,Class_C,super,,
GPR26,gpr26,11,2,13,84.62,Class_B1,align,,
MCHR1,mchr1a,11,1,9,91.67,Class_A,super,,
ADGRB2,adgrb2,11,0,7,100,Class_A,super,,
ADORA2A,adora2ab,11,0,13,100,Class_A (4S0V),super,,
FZD7,fzd7b,11,0,12,100,Class_B1,super,,
GRM1,grm1b,11,0,14,100,Class_A,align,,
GRM2,grm2a,11,0,14,100,Class_B1,super,,
RXFP3,rxfp3,11,0,3,100,Class_A,super,,
CMKLR1,cmklr1,12,7,3,63.16,Class_A (4S0V),align,,
CMKLR1,cmklr1,12,7,3,63.16,Class_A (4S0V),super,,
