human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method
ACKR3,ackr3a,14,1,2,93.33,Class_A (4S0V),align
ACKR3,ackr3b,11,2,4,84.62,Class_A (4S0V),align
ACKR3,ackr3b,11,2,4,84.62,Class_A (4S0V),super
ACKR4,ackr4b,10,2,2,83.33,Class_A,align
ADCYAP1R1,adcyap1r1a,27,0,1,100.0,Class_B1,align
ADGRA1,adgra1a,20,1,3,95.24,Class_A (4S0V),super
ADGRA2,adgra2,3,0,7,100.0,Class_A,super
ADGRA3,adgra3,8,0,15,100.0,Class_A (4S0V),align
ADGRB1,adgrb1a,26,0,1,100.0,Class_B1,super
ADGRB1,adgrb1b,24,0,1,100.0,Class_B1,align
ADGRB1,adgrb1b,25,0,2,100.0,Class_B1,super
ADGRB2,adgrb2,11,0,7,100.0,Class_A,super
ADGRB2,adgrb2,13,0,2,100.0,Class_C,super
ADGRB3,adgrb3,22,0,3,100.0,Class_B1,align
ADGRB3,adgrb3,9,0,11,100.0,Class_F,align
ADGRB3,adgrb3,10,0,13,100.0,Class_A (4S0V),super
ADGRD1,adgrd1,9,1,18,90.0,Class_B1,align
ADGRD2,adgrd2,1,0,16,100.0,Class_C,super
ADGRE5,adgre5a,1,1,23,50.0,Class_B1,super
ADGRE5,adgre5b.2,8,3,7,72.73,Class_A,super
ADGRE5,adgre5b.3,1,0,15,100.0,Class_F,align
ADGRF3,adgrf3a,1,0,0,100.0,Class_A,align
ADGRF3,adgrf3b,1,0,0,100.0,Class_A,align
ADGRG1,adgrg1,8,12,8,40.0,Class_B1,align
ADGRG2,adgrg2a,1,0,18,100.0,Class_A,align
ADGRG2,adgrg2a,12,0,3,100.0,Class_A (4S0V),super
ADGRG4,adgrg4a,0,3,21,0.0,Class_A (4S0V),align
ADGRG4,adgrg4b,0,3,21,0.0,Class_A (4S0V),align
ADGRG6,adgrg6,2,0,14,100.0,Class_A (4S0V),align
ADGRG6,adgrg6,2,0,18,100.0,Class_C,super
ADGRG7,adgrg7.2,3,1,23,75.0,Class_B1,super
ADGRL1,adgrl1a,15,0,2,100.0,Class_A,align
ADGRL1,adgrl1a,18,0,1,100.0,Class_A (4S0V),super
ADGRL1,adgrl1a,17,0,2,100.0,Class_A,super
ADGRL2,adgrl2a,4,0,13,100.0,Class_A,align
ADGRL2,adgrl2a,2,0,8,100.0,Class_F,align
ADGRL2,adgrl2a,16,0,1,100.0,Class_A (4S0V),super
ADGRL2,adgrl2a,16,0,1,100.0,Class_A,super
ADGRL2,adgrl2b.1,1,0,24,100.0,Class_B1,super
ADGRL4,adgrl4,1,0,9,100.0,Class_F,align
ADORA1,adora1b,20,0,2,100.0,Class_A (4S0V),align
ADORA1,adora1b,19,0,0,100.0,Class_A,align
ADORA1,adora1b,19,0,0,100.0,Class_A (4S0V),super
ADORA1,adora1b,9,0,10,100.0,Class_A,super
ADORA2A,adora2aa,21,1,2,95.45,Class_A (4S0V),super
ADORA2A,adora2ab,11,0,13,100.0,Class_A (4S0V),super
ADORA2A,adora2ab,4,0,20,100.0,Class_B1,super
ADORA2B,adora2b,24,0,1,100.0,Class_A (4S0V),align
ADORA2B,adora2b,4,0,25,100.0,Class_F,align
ADORA2B,adora2b,21,0,2,100.0,Class_A (4S0V),super
ADRA1A,adra1aa,19,1,1,95.0,Class_A (4S0V),align
ADRA1A,adra1ab,14,1,1,93.33,Class_A (4S0V),super
ADRA1B,adra1ba,18,1,2,94.74,Class_A,align
ADRA1B,adra1bb,15,1,4,93.75,Class_A (4S0V),super
ADRA1D,adra1d,17,0,1,100.0,Class_A,align
ADRA1D,adra1d,17,0,1,100.0,Class_A,super
ADRA1D,adra1d,1,0,20,100.0,Class_C,super
ADRA2A,adra2a,5,0,21,100.0,Class_A (4S0V),super
