human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method
ACKR3,ackr3a,12,1,4,92.31,Class_A (4S0V),super
ACKR3,ackr3b,11,4,2,73.33,Class_A (4S0V),super
ACKR4,ackr4b,14,4,1,77.78,Class_A (4S0V),super
ADCYAP1R1,adcyap1r1a,27,0,1,100.0,Class_B1,align
ADGRA1,adgra1a,20,1,3,95.24,Class_A (4S0V),super
ADGRA2,adgra2,14,2,2,87.5,Class_F,align
ADGRA3,adgra3,14,1,2,93.33,Class_A,super
ADGRB1,adgrb1a,26,0,1,100.0,Class_B1,super
ADGRB1,adgrb1b,24,0,1,100.0,Class_B1,align
ADGRB1,adgrb1b,25,0,2,100.0,Class_B1,super
ADGRB2,adgrb2,15,0,3,100.0,Class_A,super
ADGRB2,adgrb2,13,0,2,100.0,Class_C,super
ADGRB3,adgrb3,23,0,2,100.0,Class_B1,align
ADGRB3,adgrb3,15,0,5,100.0,Class_F,align
ADGRB3,adgrb3,13,0,10,100.0,Class_A (4S0V),super
ADGRD1,adgrd1,12,2,14,85.71,Class_B1,align
ADGRD2,adgrd2,19,3,2,86.36,Class_B1,super
ADGRE5,adgre5a,1,1,23,50.0,Class_B1,super
ADGRE5,adgre5b.2,9,3,4,75.0,Class_A (4S0V),super
ADGRE5,adgre5b.2,9,3,6,75.0,Class_A,super
ADGRE5,adgre5b.3,10,2,4,83.33,Class_A (4S0V),super
ADGRE5,adgre5b.3,5,1,12,83.33,Class_F,super
ADGRF3,adgrf3a,1,0,0,100.0,Class_A,align
ADGRF3,adgrf3b,1,0,0,100.0,Class_A,align
ADGRG1,adgrg1,9,13,6,40.91,Class_B1,align
ADGRG2,adgrg2a,12,0,3,100.0,Class_A (4S0V),super
ADGRG2,adgrg2a,4,0,11,100.0,Class_A,super
ADGRG4,adgrg4a,0,4,20,0.0,Class_A (4S0V),align
ADGRG4,adgrg4b,0,6,18,0.0,Class_A (4S0V),align
