pocket_A	ghrhra	95.833	24	1	0	1	24	1	24	5.87e-14	48.5
pocket_A	adcyap1r1a	75.000	24	5	1	2	24	1	24	6.13e-10	38.5
pocket_A	pth2rb	60.870	23	9	0	2	24	1	23	1.15e-09	37.7
pocket_A	gcgra	66.667	24	7	1	1	23	1	24	8.65e-08	32.7
pocket_A	vipr1b	66.667	21	6	1	3	22	2	22	2.82e-06	28.9
pocket_A	calcrla	47.826	23	11	1	3	24	2	24	3.85e-05	26.2
pocket_A	vipr1a	60.870	23	7	2	3	23	2	24	6.95e-05	25.4
pocket_A	calcrlb	50.000	22	10	1	3	24	1	21	1.23e-04	25.0
pocket_A	gprc5c	41.176	17	10	0	1	17	1	17	0.048	18.1
pocket_A	nmur1a	50.000	14	7	0	9	22	10	23	0.17	16.9
